EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-6-1,79,72,65,65,63,59,93,73,52,29.93,29.89,29.84,10,8,2,17,8,22,0.01,6,,251
2010-6-2,82,71,59,68,63,56,90,71,51,29.90,29.80,29.70,10,7,1,37,5,48,2.17,6,Rain-Thunderstorm,184
2010-6-3,78,71,64,67,63,61,93,78,62,29.83,29.78,29.75,10,7,3,12,4,15,0.04,7,Rain,239
2010-6-4,81,73,64,70,65,62,93,76,58,29.89,29.84,29.78,10,7,3,13,4,16,0.09,7,Rain-Thunderstorm,225
2010-6-5,75,71,67,68,66,62,93,86,79,29.82,29.79,29.69,10,8,0,14,6,22,1.02,8,Fog-Rain-Thunderstorm,219
2010-6-6,75,67,58,68,60,48,90,70,49,29.83,29.65,29.52,10,10,6,31,14,37,0.04,7,Rain,272
2010-6-7,70,62,53,55,49,41,93,66,39,30.10,29.97,29.83,10,10,8,18,9,25,0.00,4,,304
2010-6-8,72,60,48,48,45,42,86,61,35,30.20,30.15,30.09,10,10,10,13,4,18,T,4,Rain,345
2010-6-9,71,64,57,68,61,46,93,73,52,30.07,29.89,29.81,10,6,2,18,8,26,0.58,7,Rain,211
2010-6-10,80,71,61,61,57,53,93,68,42,30.05,29.95,29.88,10,10,9,21,8,26,0.00,3,,287
2010-6-11,78,68,57,61,58,54,86,68,50,30.16,30.11,30.05,10,10,9,8,3,13,T,6,,177
2010-6-12,86,77,67,71,67,61,87,71,55,30.09,30.01,29.94,10,10,6,20,6,26,0.01,6,Rain,227
2010-6-13,82,75,68,70,67,63,97,80,62,29.98,29.95,29.92,10,10,7,17,8,21,0.02,6,Rain,265
2010-6-14,78,71,64,68,64,62,93,79,64,30.00,29.94,29.92,10,7,3,16,5,29,0.00,6,,316
2010-6-15,78,72,66,66,64,61,87,76,64,30.07,30.03,29.98,10,9,7,13,6,16,0.01,7,Rain,91
2010-6-16,83,75,66,67,63,54,90,66,42,30.02,29.98,29.92,10,9,5,23,9,29,0.00,5,,229
2010-6-17,71,64,57,59,56,55,84,73,61,30.12,30.07,29.99,10,10,10,16,7,24,0.00,6,,314
2010-6-18,83,68,52,61,55,50,100,69,37,30.16,30.10,30.03,10,8,1,9,2,13,0.00,2,,197
2010-6-19,86,76,66,70,65,61,93,72,51,30.05,29.99,29.94,10,7,0,22,6,29,0.20,5,Fog-Rain-Thunderstorm,195
2010-6-20,82,74,66,68,62,59,93,70,46,30.06,30.01,29.96,10,10,7,17,7,23,0.00,3,,283
2010-6-21,84,73,61,64,61,59,90,67,44,30.14,30.10,30.06,10,10,8,9,1,16,0.00,5,,297
2010-6-22,84,76,68,67,66,64,84,68,51,30.15,30.08,30.03,10,8,1,18,7,23,0.23,6,Rain-Thunderstorm,228
2010-6-23,88,79,70,72,68,65,90,73,55,30.10,30.05,29.97,10,9,2,41,6,55,0.59,5,Rain-Thunderstorm,242
2010-6-24,82,76,68,69,65,58,85,70,52,30.04,29.94,29.86,10,9,6,20,10,29,0.00,5,Rain,277
2010-6-25,82,71,60,61,59,57,90,68,46,30.12,30.08,30.02,10,10,10,12,3,17,0.00,2,,252
2010-6-26,84,73,61,65,62,59,93,69,44,30.04,29.94,29.83,10,9,6,15,5,20,0.00,5,,214
2010-6-27,88,80,72,73,68,65,84,67,50,29.82,29.76,29.65,10,8,2,22,8,32,0.03,5,Rain-Thunderstorm,234
2010-6-28,81,75,69,70,67,65,90,80,69,29.82,29.72,29.65,10,9,2,17,8,25,0.09,8,Rain,233
2010-6-29,74,65,55,65,54,46,93,66,38,30.14,30.00,29.83,10,10,10,17,8,24,0.00,4,,330
2010-6-30,74,62,50,50,45,39,89,61,33,30.27,30.20,30.14,10,10,10,18,7,25,0.00,2,,317
