EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,32,27,21,29,24,13,92,82,71,30.12,30.04,29.96,10,6,1,13,7,17,0.05,8,Snow,296
2013-1-2,25,20,14,13,11,9,80,68,55,30.28,30.20,30.08,10,10,10,15,3,18,0.00,8,,269
2013-1-3,33,20,6,18,12,4,91,69,47,30.27,30.23,30.09,10,9,6,24,6,29,T,5,,248
2013-1-4,32,29,26,22,18,16,81,68,54,30.29,30.22,30.13,10,9,2,22,11,31,T,5,Snow,250
2013-1-5,35,30,24,23,20,15,75,64,52,30.42,30.29,30.13,10,10,10,12,6,16,T,6,Snow,216
2013-1-6,37,34,31,30,26,22,89,75,61,30.24,30.10,30.00,10,10,5,22,7,25,T,8,Snow,239
2013-1-7,33,28,22,26,23,18,81,71,61,30.49,30.38,30.27,9,6,4,17,5,20,T,6,Snow,241
2013-1-8,43,29,15,26,21,12,92,71,49,30.39,30.35,30.24,10,8,5,13,2,17,0.00,4,,212
2013-1-9,47,37,27,38,30,24,85,73,60,30.51,30.33,30.21,10,10,10,17,7,23,T,4,Rain,228
2013-1-10,39,33,26,28,26,23,92,76,59,30.64,30.52,30.32,10,9,6,9,4,13,T,7,Rain,99
2013-1-11,55,47,38,50,40,25,96,75,54,30.30,30.08,29.95,10,8,2,10,6,15,0.30,7,Fog-Rain,141
2013-1-12,61,55,48,54,51,48,100,86,72,30.11,30.04,29.95,10,6,0,13,4,17,0.01,8,Fog-Rain,173
2013-1-13,67,61,54,54,52,50,93,76,58,29.94,29.90,29.86,10,10,10,18,8,24,0.05,8,Rain,190
2013-1-14,58,44,30,54,30,21,86,70,54,30.41,30.23,29.93,10,10,4,30,9,38,0.01,8,Rain,324
2013-1-15,32,28,23,24,21,19,81,70,59,30.43,30.31,30.12,10,10,7,10,6,14,T,6,Rain-Snow,29
2013-1-16,33,32,30,31,29,25,100,89,78,30.09,29.99,29.88,10,5,0,15,5,20,0.15,8,Rain-Snow,252
2013-1-17,34,32,30,28,26,25,85,79,72,30.22,30.14,30.01,10,8,0,21,6,30,0.05,8,Snow,252
2013-1-18,33,25,16,19,14,6,81,62,43,30.53,30.39,30.23,10,9,1,24,12,30,T,4,Snow,258
2013-1-19,51,42,33,21,17,13,47,36,24,30.25,30.07,29.83,10,10,10,25,14,36,0.00,1,,217
2013-1-20,47,35,23,28,16,10,65,51,37,30.17,30.01,29.78,10,10,10,31,16,47,0.00,4,,280
2013-1-21,24,18,11,18,11,0,81,69,56,30.14,30.03,29.87,10,6,0,25,10,32,0.13,7,Snow,274
2013-1-22,13,9,5,2,-2,-6,76,67,57,30.32,30.23,30.02,10,9,3,23,11,30,T,5,Snow,271
2013-1-23,16,10,4,9,0,-3,80,63,46,30.36,30.26,30.12,10,9,5,16,6,21,T,6,Snow,248
2013-1-24,21,16,10,10,6,-2,92,66,39,30.59,30.35,30.04,10,7,1,18,8,24,0.01,6,Snow,325
2013-1-25,18,15,11,14,8,3,84,74,64,30.53,30.23,29.99,10,5,0,13,3,15,0.24,8,Fog-Snow,132
2013-1-26,26,20,13,20,16,11,91,77,62,30.49,30.26,30.05,10,5,2,17,7,22,0.03,8,Snow,278
2013-1-27,30,19,7,18,14,5,100,79,57,30.59,30.48,30.32,10,8,4,10,3,12,T,7,Snow,107
2013-1-28,50,39,28,48,36,19,100,82,63,30.33,30.13,29.99,10,4,1,17,8,25,0.44,8,Rain-Snow,202
2013-1-29,64,57,49,52,49,47,100,80,60,30.07,29.98,29.80,10,6,0,20,7,26,0.01,8,Fog-Rain,205
2013-1-30,68,59,50,55,50,42,93,76,58,29.76,29.46,29.24,10,8,2,29,12,41,0.85,8,Rain,186
2013-1-31,50,36,22,36,20,9,92,74,55,29.88,29.64,29.29,10,6,0,39,17,49,0.11,8,Fog-Rain-Snow,264
