EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-7-1,93,79,65,63,57,48,84,53,22,30.06,30.01,29.98,10,10,10,14,3,20,0.00,2,,38
2011-7-2,95,81,66,65,58,48,87,55,22,30.10,30.04,29.99,10,10,8,13,3,18,0.00,4,,134
2011-7-3,97,85,72,70,66,64,84,60,36,30.02,29.96,29.90,10,9,8,16,9,26,T,5,Thunderstorm,235
2011-7-4,99,85,70,70,67,63,90,63,35,29.97,29.93,29.86,10,7,0,18,9,29,1.38,5,Fog-Rain-Thunderstorm,248
2011-7-5,92,81,70,70,68,66,97,72,47,30.00,29.96,29.92,10,8,3,15,4,18,0.00,6,Thunderstorm,209
2011-7-6,89,81,73,73,70,66,100,79,58,30.02,29.98,29.91,10,7,2,22,6,26,0.22,6,Rain-Thunderstorm,220
2011-7-7,94,82,70,76,70,66,90,70,49,30.02,29.97,29.90,10,8,2,16,6,25,0.06,5,Rain-Thunderstorm,199
2011-7-8,92,83,74,76,72,70,88,70,52,29.93,29.84,29.76,10,8,1,17,8,22,0.41,6,Rain-Thunderstorm,208
2011-7-9,89,81,73,73,70,65,93,70,46,30.01,29.89,29.80,10,10,9,13,5,25,0.09,5,Rain-Thunderstorm,337
2011-7-10,92,81,69,71,68,66,90,67,44,30.06,30.03,29.99,10,8,4,10,4,14,0.00,3,,101
2011-7-11,96,85,74,72,69,66,87,64,40,30.08,30.01,29.93,10,9,6,17,6,25,0.00,3,,196
2011-7-12,100,89,78,76,72,67,85,62,38,29.92,29.87,29.81,10,9,6,17,7,30,0.00,5,,250
2011-7-13,97,87,76,74,71,67,82,62,41,29.88,29.84,29.80,10,9,6,13,3,23,T,5,Rain-Thunderstorm,319
2011-7-14,87,78,69,72,62,57,87,62,36,30.05,29.95,29.87,10,10,10,17,9,23,0.00,4,,47
2011-7-15,86,73,60,60,55,51,84,58,32,30.10,30.06,30.02,10,10,10,15,7,26,0.00,5,,91
2011-7-16,89,76,63,60,57,54,78,55,32,30.19,30.15,30.11,10,10,10,13,6,20,0.00,5,,134
2011-7-17,88,78,68,62,59,56,73,54,34,30.24,30.19,30.14,10,10,10,9,3,14,0.00,5,,154
2011-7-18,94,81,68,65,63,61,78,59,39,30.16,30.06,29.95,10,10,10,13,6,18,0.00,4,,218
2011-7-19,96,83,70,73,68,62,74,59,44,29.97,29.89,29.83,10,8,6,12,5,15,0.00,5,,258
2011-7-20,100,88,75,73,70,66,87,62,36,29.90,29.85,29.80,10,9,4,26,2,32,T,4,Thunderstorm,201
2011-7-21,102,90,77,75,72,69,88,63,37,29.90,29.86,29.83,10,9,6,20,5,25,0.00,4,,245
2011-7-22,103,91,78,73,70,64,79,54,29,30.00,29.94,29.90,10,9,6,18,8,26,0.00,2,,231
2011-7-23,103,91,78,72,70,65,79,56,33,30.05,30.00,29.94,10,9,7,18,7,28,0.00,3,Thunderstorm,249
2011-7-24,101,90,79,72,70,66,74,54,33,30.03,29.98,29.92,10,10,10,31,6,41,0.00,6,Thunderstorm,244
2011-7-25,97,86,74,75,71,69,94,70,46,29.96,29.85,29.76,10,10,6,26,5,32,0.07,6,Rain-Thunderstorm,230
2011-7-26,93,83,73,72,71,68,93,70,47,29.88,29.83,29.78,10,6,0,13,5,16,0.00,6,Fog,204
2011-7-27,99,86,73,73,68,58,94,62,30,29.99,29.92,29.86,10,7,0,15,5,28,0.00,3,Fog,173
2011-7-28,102,89,75,71,68,63,82,56,29,30.06,30.02,29.99,10,10,7,18,7,24,0.00,4,,234
2011-7-29,104,90,75,72,65,59,82,54,25,30.04,29.98,29.90,10,10,10,12,4,20,0.00,2,,243
2011-7-30,100,88,75,73,69,64,87,60,33,30.09,29.99,29.91,10,8,1,29,5,26,2.10,5,Rain-Thunderstorm,95
2011-7-31,85,79,73,77,72,70,93,84,74,30.07,30.04,30.00,10,6,1,23,3,30,1.16,7,Fog-Rain-Thunderstorm,68
