EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-2-1,40,33,26,26,11,2,61,43,24,30.40,30.17,29.88,10,10,10,22,9,37,0.00,1,,289
2013-2-2,45,32,19,35,11,5,62,45,27,30.42,30.26,30.04,10,10,10,20,6,28,T,5,Rain,203
2013-2-3,50,43,35,36,27,21,89,64,39,30.00,29.94,29.86,10,10,10,16,5,22,T,5,,284
2013-2-4,49,38,26,25,21,17,75,55,34,30.16,30.07,30.01,10,10,10,13,5,22,0.00,5,,215
2013-2-5,60,50,39,33,30,26,67,50,32,30.00,29.95,29.88,10,10,10,15,6,20,0.00,5,,235
2013-2-6,62,46,30,36,28,21,89,55,21,30.29,30.14,29.98,10,10,10,12,3,18,0.00,1,,59
2013-2-7,48,42,36,41,35,32,89,74,58,30.34,30.23,30.00,10,8,4,16,9,22,0.43,7,Rain,56
2013-2-8,55,47,39,43,38,26,96,71,45,30.06,29.89,29.83,10,9,4,18,8,26,0.59,6,Rain,328
2013-2-9,52,40,28,26,21,16,78,52,26,30.36,30.24,30.05,10,10,10,12,4,20,0.00,0,,290
2013-2-10,53,39,25,40,21,16,81,54,26,30.49,30.38,30.22,10,10,10,12,5,16,0.03,5,Rain,138
2013-2-11,63,54,45,58,53,40,93,88,83,30.19,30.04,29.93,10,8,2,21,11,25,0.05,8,Rain,213
2013-2-12,60,54,47,52,33,25,93,61,28,30.09,30.00,29.94,10,10,10,13,4,20,0.00,6,,267
2013-2-13,50,46,42,45,42,33,96,74,52,29.92,29.76,29.64,10,5,1,12,4,17,0.23,7,Rain,239
2013-2-14,52,42,31,33,31,28,89,67,44,30.08,30.00,29.86,10,10,10,13,3,16,0.00,3,,219
2013-2-15,61,45,29,37,31,27,92,62,32,30.09,30.02,29.94,10,10,10,14,3,20,0.00,1,,229
2013-2-16,47,40,32,34,31,25,96,77,57,29.97,29.91,29.83,10,5,0,13,4,21,0.39,8,Fog-Rain-Snow,5
2013-2-17,37,31,24,21,11,5,72,50,27,30.27,30.10,29.94,10,10,10,20,7,32,T,2,,297
2013-2-18,52,35,18,24,17,12,81,55,28,30.43,30.34,30.27,10,10,10,15,5,20,0.00,2,,196
2013-2-19,51,43,35,49,39,25,92,73,54,30.24,30.01,29.86,10,8,2,22,10,30,0.14,6,Rain,223
2013-2-20,52,40,27,33,19,11,92,56,19,30.14,30.06,29.97,10,10,10,16,5,23,0.00,3,,291
2013-2-21,54,40,25,23,18,15,69,46,22,30.25,30.18,30.13,10,10,10,16,4,22,0.00,3,,32
2013-2-22,42,37,32,34,30,19,92,66,39,30.34,30.26,30.15,10,6,1,16,5,22,0.36,8,Rain,55
2013-2-23,44,40,36,42,37,34,100,96,92,30.12,29.97,29.84,6,3,1,10,3,15,0.92,8,Rain,12
2013-2-24,62,51,40,44,37,26,100,65,30,30.04,29.90,29.80,10,6,1,14,4,20,0.08,3,,271
2013-2-25,42,37,32,28,23,20,70,58,45,30.23,30.16,30.06,10,10,10,16,7,21,0.00,6,,63
2013-2-26,58,47,36,56,43,24,100,80,59,30.14,29.78,29.56,10,5,0,25,10,36,0.86,7,Fog-Rain,95
2013-2-27,59,51,43,45,39,34,93,68,43,29.78,29.70,29.63,10,8,1,20,9,25,0.00,4,Fog,249
2013-2-28,50,42,33,37,30,23,92,64,36,29.86,29.77,29.70,10,10,10,17,4,23,0.00,4,,281
