PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-4-1,59,54,48,45,42,39,80,66,51,30.09,30.00,29.91,10,9,4,17,7,24,0.56,5,Rain,336
2010-4-2,64,57,49,49,44,38,72,58,44,30.13,30.09,30.06,10,10,10,13,4,18,0.00,3,,305
2010-4-3,65,59,52,50,47,45,77,67,56,30.05,30.00,29.96,10,10,8,18,6,21,0.00,4,,240
2010-4-4,63,59,55,46,43,41,67,58,48,30.05,30.01,29.98,10,10,10,15,7,21,0.00,5,,258
2010-4-5,63,59,54,55,50,46,83,72,60,30.14,30.07,30.01,10,8,2,17,8,23,0.11,6,Rain,259
2010-4-6,66,59,51,50,46,39,83,62,40,30.18,30.12,30.07,10,10,10,17,6,21,0.00,1,,327
2010-4-7,79,66,52,47,38,29,72,45,17,30.12,30.06,30.00,10,10,10,13,4,16,0.00,0,,307
2010-4-8,79,68,56,57,41,22,90,51,12,30.01,29.93,29.88,10,10,10,12,3,14,0.00,0,,227
2010-4-9,65,61,57,57,52,47,90,77,63,29.99,29.91,29.87,10,7,2,13,7,15,0.00,6,,189
2010-4-10,65,61,57,47,45,44,67,60,52,30.09,30.02,29.95,10,10,8,13,6,17,0.00,5,,233
2010-4-11,64,61,58,50,46,42,69,59,48,30.12,30.07,30.01,10,10,9,17,9,23,0.00,7,,173
2010-4-12,63,59,54,54,49,44,93,73,52,30.02,29.97,29.93,10,7,2,25,11,31,0.68,6,Rain,270
2010-4-13,64,59,54,47,45,41,72,62,52,30.04,30.01,29.97,10,10,8,17,7,22,0.00,3,,321
2010-4-14,69,61,53,50,48,46,77,65,52,30.06,30.02,29.98,10,10,10,15,5,18,0.00,3,,304
2010-4-15,65,60,55,52,51,48,77,70,63,30.07,30.02,29.99,10,10,8,13,4,15,0.00,7,,229
2010-4-16,66,62,58,52,51,50,80,72,63,30.09,30.05,30.01,10,10,9,17,7,22,0.00,4,,296
2010-4-17,68,61,54,55,52,48,84,72,59,30.01,29.95,29.92,10,10,7,13,3,16,0.00,5,,302
2010-4-18,69,64,58,56,54,51,87,73,59,30.00,29.94,29.90,10,8,3,16,5,20,0.02,6,Rain,312
2010-4-19,70,65,59,56,54,50,84,69,53,30.00,29.96,29.92,10,10,8,16,6,20,0.00,3,,319
2010-4-20,68,63,57,55,52,43,84,70,56,30.00,29.97,29.93,10,9,7,21,8,25,0.01,5,,297
2010-4-21,59,56,52,48,43,39,72,64,55,29.97,29.90,29.85,10,10,5,26,14,35,0.27,6,Rain,283
2010-4-22,60,56,51,49,44,39,77,62,46,29.91,29.83,29.77,10,10,10,22,7,29,0.09,6,Rain,237
2010-4-23,64,57,49,52,46,41,80,66,51,30.12,30.03,29.92,10,10,7,15,5,20,0.00,2,,294
2010-4-24,66,62,57,51,49,46,80,68,56,30.14,30.11,30.07,10,10,2,15,6,21,0.00,5,,330
2010-4-25,64,60,56,54,53,50,86,79,72,30.08,30.04,29.98,10,8,5,10,5,14,0.00,5,,309
2010-4-26,63,60,56,54,53,51,93,83,72,30.00,29.96,29.91,8,4,1,13,5,17,0.00,7,,295
2010-4-27,63,59,55,52,51,49,86,77,67,30.04,30.00,29.94,10,8,4,13,6,16,0.00,7,,260
2010-4-28,66,62,57,57,50,41,93,70,46,30.05,30.01,29.99,10,8,2,18,9,24,0.04,6,Rain,268
2010-4-29,63,60,56,47,44,40,67,55,43,30.01,29.97,29.94,10,10,10,21,12,29,T,3,,297
2010-4-30,67,61,54,50,46,37,72,53,34,29.96,29.93,29.90,10,9,7,18,7,24,0.00,2,,208
