PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,60,53,46,38,34,30,65,49,33,30.25,30.17,30.10,10,10,10,12,3,14,0.00,5,,345
2013-1-2,63,53,42,42,31,16,63,40,16,30.12,30.08,30.05,10,10,10,13,3,16,0.00,0,,317
2013-1-3,67,55,43,39,27,11,62,37,11,30.20,30.12,30.07,10,10,10,10,2,14,0.00,0,,289
2013-1-4,65,54,43,38,21,4,54,32,9,30.28,30.22,30.19,10,10,10,12,3,14,0.00,0,,344
2013-1-5,62,52,41,44,34,24,77,52,27,30.31,30.25,30.20,10,10,9,10,2,14,0.00,2,,318
2013-1-6,58,53,48,47,43,35,83,69,54,30.24,30.17,30.04,10,9,3,22,3,28,0.16,7,Rain,344
2013-1-7,64,56,47,47,41,31,93,62,30,30.10,30.04,29.99,10,10,7,16,5,21,0.01,3,Rain,342
2013-1-8,67,56,44,51,41,32,80,55,30,30.13,30.09,30.03,10,10,10,10,2,13,0.00,1,,281
2013-1-9,60,54,48,54,49,39,86,74,61,30.16,30.10,30.04,10,9,5,13,4,16,0.00,5,,192
2013-1-10,57,55,53,52,42,34,94,64,37,30.12,30.04,30.00,10,9,3,23,10,33,0.04,7,Rain,273
2013-1-11,54,49,44,34,29,21,54,41,28,30.22,30.15,30.10,10,10,10,17,6,23,0.00,3,,358
2013-1-12,56,49,42,34,28,17,70,46,22,30.18,30.13,30.09,10,10,10,10,4,13,0.00,1,,178
2013-1-13,56,49,42,31,26,20,58,42,26,30.17,30.12,30.08,10,10,9,12,3,15,0.00,4,,228
2013-1-14,55,47,39,32,20,7,59,40,21,30.36,30.26,30.15,10,10,10,14,3,18,0.00,1,,10
2013-1-15,59,50,40,35,20,5,34,23,12,30.46,30.39,30.33,10,10,10,15,5,20,0.00,0,,353
2013-1-16,64,53,41,43,31,19,62,41,20,30.37,30.26,30.13,10,10,10,10,2,13,0.00,0,,329
2013-1-17,73,59,44,51,33,19,62,38,14,30.16,30.12,30.06,10,10,10,12,2,14,0.00,1,,319
2013-1-18,73,61,48,45,32,17,54,34,13,30.14,30.11,30.06,10,10,10,9,2,12,0.00,1,,261
2013-1-19,76,62,47,41,28,13,56,33,9,30.19,30.12,30.07,10,10,10,10,2,13,0.00,2,,320
2013-1-20,74,62,49,34,27,17,46,30,13,30.13,30.08,30.00,10,10,10,10,2,12,0.00,2,,321
2013-1-21,76,61,45,32,22,1,49,27,5,30.09,30.05,30.01,10,10,10,16,4,18,0.00,0,,340
2013-1-22,80,63,46,45,23,4,42,25,7,30.10,30.06,30.02,10,10,10,10,2,13,0.00,5,,295
2013-1-23,73,65,56,47,36,29,36,30,24,30.14,30.07,30.02,10,10,9,15,2,18,0.00,7,,165
2013-1-24,69,65,60,55,49,40,72,58,43,30.21,30.13,30.09,10,10,10,8,2,9,T,7,Rain,320
2013-1-25,65,62,59,59,57,55,90,84,78,30.13,30.03,29.96,10,7,4,10,3,14,0.39,8,Rain,41
2013-1-26,62,60,57,59,57,55,97,91,84,30.04,29.96,29.91,10,4,0,12,4,15,0.15,8,Fog-Rain,209
2013-1-27,58,57,55,55,47,40,93,72,51,30.09,30.05,30.02,10,9,5,15,8,18,0.00,7,,228
2013-1-28,59,56,52,45,37,28,66,50,33,30.22,30.13,30.06,10,10,10,17,9,22,0.00,4,,296
2013-1-29,59,53,47,46,41,37,67,63,59,30.26,30.23,30.19,10,10,10,14,6,17,0.00,5,,157
2013-1-30,68,58,47,44,40,35,86,59,32,30.35,30.27,30.22,10,10,10,14,3,16,0.00,1,,322
2013-1-31,69,59,48,49,43,39,71,54,36,30.24,30.16,30.10,10,10,9,13,3,16,0.00,2,,322
