CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-10-1,88,75,62,59,55,51,78,54,29,30.06,30.00,29.95,10,10,10,12,6,20,0.00,0,,2
2010-10-2,85,73,61,54,49,45,67,47,27,30.09,30.04,29.99,10,10,10,15,7,18,0.00,0,,16
2010-10-3,81,70,59,54,50,44,69,54,38,30.22,30.15,30.09,10,10,10,15,8,20,0.00,0,,26
2010-10-4,76,66,55,45,42,37,59,42,25,30.29,30.22,30.16,10,10,10,13,5,20,0.00,1,,67
2010-10-5,79,65,51,50,47,42,83,57,31,30.30,30.24,30.20,10,10,10,12,4,17,0.00,0,,95
2010-10-6,80,66,51,54,47,39,89,57,25,30.31,30.24,30.17,10,10,10,9,4,14,0.00,0,,308
2010-10-7,82,66,50,55,46,40,83,53,23,30.26,30.18,30.12,10,10,10,9,5,13,0.00,0,,276
2010-10-8,82,66,50,56,48,42,83,55,26,30.17,30.11,30.05,10,10,10,12,5,15,0.00,0,,262
2010-10-9,83,69,54,62,55,51,93,65,36,30.11,30.04,29.97,10,10,8,13,5,18,0.00,0,,198
2010-10-10,85,75,64,68,63,56,100,69,37,30.03,29.94,29.82,10,9,7,16,7,24,0.00,4,,159
2010-10-11,84,74,64,66,64,62,100,76,51,29.95,29.86,29.80,10,10,8,21,6,24,0.09,2,Rain-Thunderstorm,152
2010-10-12,88,76,63,69,64,51,100,73,46,30.10,29.98,29.91,10,9,6,10,4,14,0.00,2,Fog,331
2010-10-13,84,71,57,54,52,49,80,57,34,30.23,30.16,30.09,10,10,10,18,7,24,0.00,1,,342
2010-10-14,80,67,53,51,40,31,61,39,16,30.32,30.23,30.15,10,10,10,14,7,21,0.00,0,,360
2010-10-15,83,65,47,47,41,36,71,47,22,30.18,30.12,30.04,10,10,10,12,4,15,0.00,1,,270
2010-10-16,81,67,52,56,48,44,83,56,28,30.15,30.09,30.04,10,10,10,12,4,17,0.00,2,,259
2010-10-17,83,70,56,65,59,55,93,68,42,30.12,30.04,29.95,10,10,8,15,6,22,0.00,3,,173
2010-10-18,84,73,61,65,60,53,100,67,34,30.01,29.93,29.85,10,9,4,16,8,21,0.00,1,Fog,168
2010-10-19,84,75,66,68,64,61,87,67,47,30.02,29.93,29.88,10,10,8,13,5,17,0.00,5,,159
2010-10-20,85,74,63,66,63,58,100,72,43,30.05,29.99,29.95,10,10,10,13,5,16,0.00,2,,165
2010-10-21,85,75,65,68,65,61,100,74,47,30.06,29.97,29.85,10,10,8,23,10,26,0.00,5,,160
2010-10-22,85,77,68,70,66,62,93,71,48,30.00,29.91,29.83,10,10,7,24,14,31,0.02,6,Rain-Thunderstorm,147
2010-10-23,84,76,67,70,66,60,100,76,51,29.97,29.90,29.81,10,9,6,24,10,32,0.06,6,Rain-Thunderstorm,152
2010-10-24,86,78,69,69,66,63,90,69,48,29.99,29.88,29.76,10,10,8,14,8,18,0.00,5,,195
2010-10-25,91,80,68,68,66,61,93,65,36,29.79,29.67,29.46,10,7,1,21,12,25,0.00,6,,193
2010-10-26,86,73,60,67,57,44,100,63,25,29.75,29.66,29.53,10,8,2,17,5,21,0.00,3,Fog,25
2010-10-27,86,73,59,70,62,50,100,74,48,30.11,29.88,29.75,10,6,0,21,3,30,T,4,Fog-Rain,354
2010-10-28,78,65,52,49,28,21,41,27,12,30.40,30.31,30.10,10,10,10,23,13,32,0.00,1,,20
2010-10-29,75,60,45,38,29,26,66,42,17,30.41,30.31,30.20,10,10,10,13,6,16,0.00,0,,353
2010-10-30,78,58,38,50,35,31,73,46,18,30.19,30.08,29.97,10,10,10,14,7,20,0.00,0,,224
2010-10-31,84,67,50,64,53,48,96,64,32,30.00,29.94,29.86,10,10,10,14,6,20,0.00,0,,197
