CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-2-1,72,57,42,44,37,32,82,53,24,30.31,30.23,30.15,10,10,10,21,8,25,0.00,4,,195
2013-2-2,75,59,43,54,48,41,92,67,41,30.25,30.19,30.14,10,10,8,13,4,16,0.00,3,,280
2013-2-3,72,62,52,54,43,34,72,52,31,30.31,30.17,30.00,10,10,10,18,7,22,0.00,5,,99
2013-2-4,75,65,55,59,56,51,90,70,50,30.02,29.88,29.77,10,10,10,17,6,23,0.01,6,Rain,198
2013-2-5,81,65,49,53,44,34,96,57,18,29.98,29.90,29.84,10,10,10,10,4,15,T,4,Rain,317
2013-2-6,75,67,59,61,59,57,93,75,57,29.98,29.91,29.81,10,10,9,15,7,18,0.01,7,Rain,132
2013-2-7,78,69,59,61,57,40,100,70,40,30.03,29.92,29.84,10,8,2,18,6,24,T,6,,185
2013-2-8,71,61,50,45,36,28,71,47,23,30.19,30.10,30.04,10,10,10,22,9,28,0.00,3,,46
2013-2-9,69,61,53,67,58,40,100,76,51,30.07,29.91,29.75,10,5,0,22,10,28,0.04,8,Fog-Rain,123
2013-2-10,71,65,58,68,45,25,90,55,19,29.97,29.84,29.73,10,8,2,21,8,26,0.03,8,Rain,32
2013-2-11,61,56,51,51,44,35,100,72,43,30.02,29.96,29.92,10,9,5,17,9,23,T,8,Rain,50
2013-2-12,76,64,51,55,44,21,100,60,19,30.03,29.89,29.79,10,6,0,25,8,33,T,7,Rain,326
2013-2-13,67,54,40,33,30,22,76,47,18,30.13,30.06,29.99,10,10,10,25,6,33,0.00,2,,353
2013-2-14,69,52,35,38,36,32,85,57,28,30.12,30.05,29.98,10,10,10,17,6,23,0.00,0,,205
2013-2-15,71,56,40,44,36,21,92,61,29,30.35,30.18,30.06,10,10,10,21,8,28,0.00,5,,358
2013-2-16,66,49,31,27,25,20,72,46,20,30.46,30.33,30.20,10,10,10,15,6,20,0.00,1,,261
2013-2-17,72,54,35,53,38,27,76,55,33,30.19,30.09,29.95,10,10,10,26,12,30,0.00,3,,188
2013-2-18,81,71,60,61,48,23,87,53,19,30.03,29.92,29.81,10,10,8,23,10,30,T,6,,206
2013-2-19,68,58,47,32,30,25,54,37,20,30.22,30.11,30.04,10,10,10,20,12,25,0.00,5,,75
2013-2-20,69,62,54,66,54,25,93,61,28,30.04,29.85,29.62,10,9,6,26,13,32,0.01,8,Rain,104
2013-2-21,80,66,52,66,42,17,90,50,10,29.82,29.69,29.56,10,9,6,24,10,31,T,6,Rain,303
2013-2-22,68,57,46,38,33,28,61,44,27,29.98,29.92,29.84,10,10,10,17,9,25,0.00,6,,24
2013-2-23,74,59,43,39,35,29,58,43,27,30.03,29.93,29.83,10,10,10,12,6,15,0.00,4,,66
2013-2-24,70,56,41,61,51,38,93,75,57,29.89,29.75,29.57,10,9,3,20,9,25,T,6,Rain,132
2013-2-25,65,56,47,62,34,13,100,57,13,29.86,29.69,29.55,10,8,0,40,20,54,T,3,Fog-Rain,295
2013-2-26,66,53,40,29,25,21,55,37,19,29.94,29.88,29.83,10,10,10,17,8,23,0.00,4,,263
2013-2-27,67,54,40,34,28,21,70,45,19,30.20,30.06,29.85,10,10,10,26,10,35,0.00,4,,332
2013-2-28,64,52,39,28,25,19,53,36,19,30.31,30.23,30.17,10,10,10,17,8,23,0.00,4,,360
