PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-2-1,46,39,32,22,14,9,61,42,22,30.63,30.57,30.48,10,10,10,14,7,20,0.00,1,,69
2011-2-2,51,40,29,26,21,11,69,52,35,30.56,30.53,30.51,10,10,10,10,3,13,0.00,4,,84
2011-2-3,49,44,39,43,33,30,71,61,50,30.54,30.52,30.49,10,10,8,23,11,28,0.01,7,Rain,185
2011-2-4,50,48,45,46,44,39,93,87,80,30.51,30.40,30.32,10,9,4,29,15,38,0.07,8,Rain,208
2011-2-5,47,45,43,43,42,41,100,91,82,30.49,30.46,30.42,10,5,1,12,3,15,0.08,8,Rain,184
2011-2-6,50,47,43,47,45,41,100,93,86,30.44,30.31,30.16,10,5,0,24,12,33,0.25,8,Rain,177
2011-2-7,48,44,39,42,38,36,92,79,66,30.32,30.24,30.16,10,10,9,23,7,31,0.05,7,Rain,200
2011-2-8,46,41,35,38,32,22,100,73,46,30.59,30.45,30.30,10,10,9,17,6,22,T,6,,7
2011-2-9,45,37,28,31,27,23,92,71,49,30.60,30.55,30.48,10,10,10,8,3,12,0.00,2,,9
2011-2-10,47,38,29,32,29,26,92,73,53,30.47,30.36,30.26,10,10,10,7,3,9,0.00,2,,357
2011-2-11,47,41,35,38,35,31,92,81,70,30.24,30.14,30.06,10,10,10,10,4,14,0.00,7,,173
2011-2-12,54,47,40,43,38,36,92,71,50,30.06,29.89,29.73,10,9,3,35,15,46,0.37,7,Rain,194
2011-2-13,52,47,41,43,39,36,92,73,54,30.16,29.99,29.70,10,10,6,18,7,25,0.24,7,Rain,166
2011-2-14,50,45,40,47,41,36,92,84,76,29.72,29.56,29.43,10,8,2,26,10,32,0.54,8,Rain,184
2011-2-15,46,42,37,38,36,33,92,81,70,29.72,29.59,29.51,10,10,7,24,8,29,0.09,7,Rain,175
2011-2-16,44,39,34,36,33,30,96,83,70,29.68,29.56,29.51,10,10,8,22,10,25,0.04,6,Rain-Snow,193
2011-2-17,44,39,34,36,33,30,100,81,62,29.78,29.74,29.68,10,10,5,16,8,22,0.11,7,Rain-Snow,202
2011-2-18,49,41,32,35,29,22,92,65,37,30.02,29.90,29.78,10,10,10,13,6,15,0.00,4,,90
2011-2-19,43,38,32,29,25,21,76,60,43,30.02,29.97,29.92,10,10,10,30,14,36,0.00,0,,8
2011-2-20,45,36,27,29,25,22,78,59,40,30.06,30.02,29.99,10,10,10,13,5,15,0.00,4,,154
2011-2-21,45,40,34,37,32,26,86,76,65,30.08,29.97,29.87,10,10,5,25,7,38,0.03,7,Rain,197
2011-2-22,44,38,32,34,31,26,89,76,62,30.02,29.91,29.82,10,8,1,20,8,24,0.04,7,Rain-Snow,168
2011-2-23,37,32,27,34,30,25,100,85,70,30.02,29.86,29.77,10,6,0,26,12,33,0.24,7,Fog-Rain-Snow,215
2011-2-24,35,30,24,27,23,14,92,71,49,30.22,30.02,29.86,10,9,2,17,10,21,T,6,Snow,41
2011-2-25,31,26,20,16,13,10,77,62,46,30.25,30.20,30.15,10,10,10,18,10,23,0.00,1,,25
2011-2-26,34,27,19,28,19,12,78,69,60,30.14,29.99,29.80,10,10,6,24,10,32,T,6,Snow,166
2011-2-27,42,38,33,38,34,28,92,84,76,29.79,29.63,29.50,10,9,4,32,19,43,0.47,8,Rain-Snow,196
2011-2-28,40,37,34,37,34,32,100,90,79,29.98,29.71,29.51,10,8,2,22,12,30,0.42,7,Rain-Snow,186
