PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-7-1,89,77,65,63,60,56,73,57,40,30.06,29.99,29.94,10,10,10,12,5,14,0.00,1,,298
2013-7-2,83,72,60,60,55,48,90,62,33,30.14,30.11,30.08,10,10,7,18,7,22,0.00,2,,287
2013-7-3,79,71,62,53,49,43,67,54,40,30.18,30.14,30.08,10,10,10,20,7,23,0.00,2,,342
2013-7-4,71,64,57,54,52,49,86,67,47,30.17,30.12,30.06,10,10,4,9,5,14,0.00,7,,226
2013-7-5,74,66,57,53,52,51,80,63,46,30.07,30.04,30.00,10,10,10,12,6,15,0.00,5,,217
2013-7-6,79,68,56,55,53,49,93,64,35,30.02,29.98,29.91,10,8,0,13,5,16,0.00,4,Fog,265
2013-7-7,75,66,57,57,55,53,87,70,53,29.99,29.97,29.93,10,7,0,10,7,14,0.00,5,,205
2013-7-8,80,68,56,57,53,51,80,61,42,30.14,30.09,30.00,10,10,10,12,6,14,0.00,4,,245
2013-7-9,86,73,59,57,54,49,84,58,32,30.15,30.10,30.03,10,10,10,14,6,18,0.00,1,,329
2013-7-10,72,65,57,54,52,49,86,70,53,30.11,30.06,29.99,10,10,10,13,6,17,0.00,5,,240
2013-7-11,73,64,54,52,47,44,80,61,41,30.12,30.07,30.01,10,10,10,16,7,18,0.00,6,,279
2013-7-12,67,62,56,50,47,44,72,60,48,30.14,30.08,30.04,10,10,10,14,5,17,0.00,5,,314
2013-7-13,79,66,52,50,47,42,83,56,28,30.24,30.18,30.15,10,10,10,15,7,21,0.00,1,,322
2013-7-14,82,69,55,50,46,43,72,49,26,30.17,30.11,30.03,10,10,10,18,7,21,0.00,0,,345
2013-7-15,82,70,58,52,48,44,67,48,28,30.08,30.02,29.93,10,10,10,17,10,22,0.00,0,,5
2013-7-16,88,77,65,52,49,44,56,43,29,29.92,29.89,29.83,10,10,10,17,9,23,T,4,,359
2013-7-17,72,66,59,55,54,52,78,66,53,30.23,30.14,29.92,10,10,10,16,8,20,T,6,Rain-Thunderstorm,216
2013-7-18,79,68,57,56,54,52,80,63,46,30.26,30.22,30.16,10,10,10,13,5,15,0.00,5,,266
2013-7-19,82,69,56,57,55,52,93,67,40,30.20,30.15,30.08,10,10,8,12,4,18,0.00,2,,301
2013-7-20,77,67,56,57,54,53,93,73,53,30.13,30.08,30.00,10,6,0,8,4,12,0.00,4,Fog,245
2013-7-21,75,65,55,57,54,52,93,72,50,30.02,30.00,29.95,10,6,0,12,5,16,0.00,4,Fog,218
2013-7-22,79,68,56,57,54,53,93,69,45,30.10,30.05,29.97,10,7,0,17,5,25,0.00,5,Fog,236
2013-7-23,88,73,57,56,52,45,86,55,23,30.10,30.06,30.01,10,10,10,17,7,21,0.00,0,,323
2013-7-24,88,73,58,55,51,45,80,52,24,30.09,30.06,30.03,10,10,10,14,6,17,0.00,2,Rain,331
2013-7-25,88,72,55,53,50,45,86,55,23,30.15,30.11,30.06,10,10,10,12,5,17,0.00,0,,317
2013-7-26,87,72,58,54,49,38,75,47,18,30.19,30.15,30.11,10,10,10,22,7,25,0.00,1,,337
2013-7-27,78,67,55,53,49,44,83,60,36,30.20,30.13,30.04,10,10,10,12,6,16,0.00,2,,233
2013-7-28,70,62,54,52,51,48,89,71,53,30.07,30.04,30.00,10,10,3,15,8,21,0.00,5,,213
2013-7-29,77,67,56,53,51,48,83,63,43,30.04,30.02,29.99,10,10,10,10,3,14,T,5,,242
2013-7-30,77,67,56,56,53,51,86,66,46,30.18,30.13,30.05,10,10,7,10,6,16,0.00,5,,221
2013-7-31,71,64,56,57,55,54,93,75,57,30.16,30.11,30.04,10,6,0,9,4,13,0.00,6,Fog,214
