PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-2-1,52,46,41,41,39,36,92,74,61,30.30,30.25,30.21,10,10,10,14,6,,0.00,3,,293
2008-2-2,54,47,41,52,44,37,96,86,74,30.24,30.03,29.79,10,7,2,28,10,39,0.23,7,Rain,182
2008-2-3,53,50,46,52,44,37,97,79,66,30.02,29.84,29.73,10,10,6,29,22,47,0.10,6,Rain,276
2008-2-4,55,48,41,38,34,28,79,60,41,30.26,30.17,30.02,10,10,10,24,10,26,0.00,1,,305
2008-2-5,57,48,38,43,36,29,80,59,38,30.40,30.35,30.27,10,10,10,21,7,24,0.00,3,,249
2008-2-6,54,51,47,46,44,41,93,80,66,30.41,30.37,30.32,10,10,10,23,12,26,0.01,5,,280
2008-2-7,57,49,41,47,44,39,93,80,66,30.40,30.31,30.27,10,10,10,25,9,29,0.00,4,,279
2008-2-8,61,54,46,47,44,39,100,75,49,30.31,30.25,30.18,10,6,0,15,3,17,0.00,4,Fog,12
2008-2-9,66,54,42,44,41,38,82,60,37,30.21,30.16,30.12,10,10,10,12,3,13,0.00,2,,182
2008-2-10,66,56,45,49,46,40,93,71,48,30.22,30.18,30.15,10,10,9,20,5,22,0.00,2,,319
2008-2-11,66,56,45,50,46,42,93,77,60,30.22,30.17,30.12,10,10,8,18,5,21,0.00,3,Fog,290
2008-2-12,66,56,45,50,46,42,100,78,56,30.19,30.13,30.04,10,8,0,29,8,31,0.00,1,Fog,291
2008-2-13,60,53,46,46,40,25,93,61,28,30.03,29.96,29.90,10,10,8,32,14,38,0.00,3,,296
2008-2-14,60,54,47,36,31,28,54,42,29,30.11,30.05,29.97,10,10,10,29,16,37,0.00,1,,335
2008-2-15,60,51,41,45,39,26,86,65,44,30.21,30.14,30.08,10,10,10,20,7,24,0.00,1,,281
2008-2-16,59,51,42,46,43,38,89,78,66,30.28,30.22,30.16,10,10,8,18,7,29,0.00,3,,288
2008-2-17,54,48,42,45,42,40,89,80,71,30.18,30.14,30.11,10,10,7,17,7,21,0.00,6,,257
2008-2-18,54,51,47,43,42,39,83,75,66,30.11,30.08,30.05,10,10,9,15,6,18,0.00,7,,260
2008-2-19,54,51,48,52,47,42,100,87,74,30.15,30.09,30.06,10,8,1,13,6,15,0.64,8,Rain,169
2008-2-20,57,53,48,47,45,43,93,80,66,30.09,30.05,30.02,10,10,9,15,6,18,0.05,6,Rain,239
2008-2-21,59,54,49,50,45,42,83,78,72,30.00,29.86,29.75,10,9,3,23,11,29,0.13,7,Rain,167
2008-2-22,54,50,46,46,43,40,93,80,64,30.02,29.91,29.83,10,9,5,17,7,23,0.22,6,Rain,248
2008-2-23,53,48,42,49,43,39,100,82,63,30.03,29.85,29.72,10,10,6,31,13,45,0.25,7,Rain,145
2008-2-24,57,52,47,54,48,44,93,82,71,30.27,29.94,29.75,10,7,2,41,21,54,0.36,7,Rain,210
2008-2-25,58,53,48,49,47,44,93,78,62,30.37,30.32,30.27,10,9,6,15,7,18,0.05,5,Rain,280
2008-2-26,65,55,45,49,47,43,93,71,48,30.33,30.25,30.19,10,10,10,13,2,31,0.00,4,,337
2008-2-27,64,57,49,51,47,45,86,73,60,30.21,30.14,30.05,10,10,10,25,7,29,0.00,4,,284
2008-2-28,67,57,46,55,47,42,93,75,56,30.05,30.00,29.93,10,10,8,21,8,26,0.00,1,,307
2008-2-29,59,53,47,49,47,45,100,86,72,30.22,30.11,30.03,10,8,1,26,10,31,0.00,6,,274
