PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-3-1,63,59,54,55,52,48,93,83,72,30.08,29.99,29.89,10,9,4,38,10,49,0.29,8,Rain,133
2009-3-2,60,57,54,55,51,44,93,79,64,29.98,29.93,29.89,10,8,2,41,21,52,0.71,6,Rain,197
2009-3-3,59,54,48,48,44,39,93,75,57,29.97,29.92,29.86,10,8,2,36,17,47,0.62,7,Rain,210
2009-3-4,55,50,44,43,41,38,85,72,55,30.11,30.03,29.91,10,10,8,14,7,,0.06,6,Rain,180
2009-3-5,56,52,47,47,44,41,93,77,61,30.20,30.16,30.12,10,10,9,15,7,18,0.19,6,Rain,272
2009-3-6,56,52,48,44,42,40,80,71,61,30.18,30.15,30.12,10,10,10,24,13,28,0.00,5,,273
2009-3-7,60,52,43,47,44,41,96,79,62,30.17,30.12,30.09,10,10,10,17,6,20,0.00,1,,285
2009-3-8,56,52,47,46,42,34,83,69,55,30.09,30.03,29.98,10,10,10,30,13,37,0.00,4,,253
2009-3-9,54,49,43,37,33,28,76,60,44,30.19,30.11,30.01,10,10,10,26,13,30,0.00,1,,292
2009-3-10,57,48,38,39,35,30,79,59,38,30.22,30.16,30.09,10,10,10,22,6,25,0.00,1,,267
2009-3-11,60,50,40,44,38,31,86,63,40,30.10,30.06,30.02,10,10,10,17,6,20,0.00,2,,285
2009-3-12,59,51,43,47,44,39,89,76,62,30.17,30.13,30.09,10,10,10,23,10,26,0.00,1,,274
2009-3-13,57,52,47,46,45,43,93,82,71,30.20,30.15,30.09,10,10,10,26,12,30,0.00,5,,274
2009-3-14,53,51,48,45,41,38,80,71,61,30.11,30.08,30.06,10,10,10,22,13,26,0.00,8,,267
2009-3-15,59,55,50,52,49,45,100,86,72,30.19,30.13,30.06,10,9,4,20,8,23,0.04,7,Rain,180
2009-3-16,64,59,53,54,53,51,100,84,67,30.31,30.26,30.19,10,9,4,20,9,23,0.02,7,Rain,191
2009-3-17,63,58,52,54,51,48,100,86,72,30.34,30.29,30.25,10,10,10,22,9,26,0.00,6,,285
2009-3-18,68,58,48,53,49,46,93,77,60,30.25,30.18,30.07,10,9,7,22,8,24,0.00,5,,301
2009-3-19,65,59,52,52,49,48,89,76,63,30.07,30.02,29.97,10,10,9,24,12,30,0.00,3,,284
2009-3-20,58,54,50,49,48,46,93,83,72,29.99,29.96,29.91,10,10,8,28,16,33,0.00,5,,271
2009-3-21,56,52,48,51,47,45,86,79,71,30.00,29.97,29.94,10,10,6,23,11,31,0.16,8,Rain,223
2009-3-22,53,49,45,45,38,35,86,68,50,30.35,30.15,29.97,10,9,4,36,22,44,0.10,4,Rain,285
2009-3-23,57,49,41,41,34,28,77,59,41,30.40,30.35,30.28,10,10,10,32,14,37,0.00,0,,289
2009-3-24,62,52,42,47,43,37,86,72,57,30.32,30.25,30.18,10,10,10,28,11,32,0.00,1,,264
2009-3-25,64,55,45,48,46,42,93,77,60,30.19,30.15,30.09,10,10,10,38,16,45,0.00,4,,278
2009-3-26,63,57,50,49,47,46,86,73,60,30.10,30.05,29.99,10,10,9,30,16,35,0.00,2,,274
2009-3-27,73,62,50,50,47,45,86,62,38,30.06,30.02,29.99,10,10,9,23,10,28,0.00,1,,283
2009-3-28,69,59,49,54,48,45,86,69,51,30.02,29.97,29.91,10,10,8,28,12,33,0.00,2,,281
2009-3-29,60,54,48,47,41,31,93,65,36,30.04,29.97,29.92,10,10,10,31,20,37,0.00,2,,281
2009-3-30,64,57,49,42,35,25,80,52,23,30.13,30.09,30.01,10,10,10,35,16,45,0.00,0,,324
2009-3-31,68,57,45,50,43,37,86,63,40,30.14,30.08,29.99,10,10,9,37,13,45,0.00,3,,279
