PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-1-1,51,48,44,47,44,42,93,84,74,30.23,30.16,30.08,8,4,2,9,2,10,0.00,7,,355
2009-1-2,55,49,43,50,44,38,100,84,68,30.08,30.00,29.91,10,5,0,20,7,25,0.03,7,Fog-Rain,131
2009-1-3,53,45,37,40,33,27,92,65,38,30.11,30.06,30.01,10,10,9,12,6,16,0.00,3,,292
2009-1-4,53,41,28,33,27,25,85,60,35,30.27,30.18,30.10,10,10,10,9,3,13,0.00,2,,344
2009-1-5,49,45,40,45,39,29,93,70,46,30.26,30.21,30.16,10,6,2,14,6,16,T,8,Rain,289
2009-1-6,56,51,45,45,43,40,93,77,61,30.32,30.28,30.26,10,8,7,10,4,13,0.00,6,,316
2009-1-7,57,51,44,46,43,41,93,77,61,30.31,30.24,30.16,8,6,4,9,3,12,0.00,5,,305
2009-1-8,59,51,43,46,43,39,93,78,62,30.25,30.20,30.15,10,6,1,17,5,21,0.00,5,Fog,301
2009-1-9,63,51,38,43,35,22,100,60,20,30.40,30.29,30.24,10,5,0,23,5,28,0.00,3,Fog,295
2009-1-10,64,50,36,37,33,29,76,55,34,30.55,30.49,30.41,10,10,10,7,1,17,0.00,0,,266
2009-1-11,72,53,34,42,33,24,82,50,17,30.52,30.42,30.31,10,10,9,14,4,16,0.00,1,,310
2009-1-12,77,65,52,42,37,33,64,43,21,30.32,30.28,30.24,10,10,10,21,7,29,0.00,2,,335
2009-1-13,75,60,44,42,39,36,76,51,25,30.36,30.29,30.23,10,10,10,7,2,9,0.00,0,,168
2009-1-14,73,57,40,37,35,32,76,51,26,30.26,30.20,30.15,10,10,10,8,2,10,0.00,2,,303
2009-1-15,73,57,41,38,35,32,73,49,24,30.19,30.15,30.11,10,10,10,6,2,10,0.00,1,,152
2009-1-16,73,57,40,39,35,33,73,49,25,30.28,30.23,30.18,10,10,10,7,1,9,0.00,0,,156
2009-1-17,71,56,40,41,36,31,79,52,24,30.27,30.22,30.15,10,10,9,7,1,9,0.00,0,,260
2009-1-18,71,55,38,41,38,33,85,58,31,30.31,30.27,30.22,10,9,8,7,2,9,0.00,0,,183
2009-1-19,73,56,39,39,36,31,79,51,22,30.28,30.22,30.16,10,10,7,8,3,14,0.00,0,,181
2009-1-20,72,57,41,38,36,30,76,50,23,30.20,30.11,30.05,10,10,10,8,2,12,0.00,2,,287
2009-1-21,61,56,50,50,42,37,89,66,42,30.06,30.02,29.99,10,9,3,9,2,12,0.30,6,Rain,184
2009-1-22,57,54,51,52,50,48,96,90,83,30.04,30.00,29.97,9,4,2,9,2,13,0.64,8,Rain,303
2009-1-23,57,55,53,54,52,50,93,90,86,30.10,30.05,30.02,8,3,1,6,2,8,0.28,8,Rain,303
2009-1-24,57,53,49,54,49,39,93,80,66,30.21,30.15,30.10,10,8,2,15,7,28,0.06,8,Rain,329
2009-1-25,56,52,47,41,39,38,77,66,55,30.18,30.09,30.00,10,10,10,24,11,30,T,7,Rain,293
2009-1-26,56,49,41,40,36,30,82,63,43,30.30,30.12,30.02,10,10,10,13,5,16,0.00,2,,298
2009-1-27,58,48,37,29,23,10,60,38,15,30.53,30.46,30.32,10,10,10,10,3,15,0.00,1,,302
2009-1-28,60,47,34,43,32,27,80,55,30,30.52,30.41,30.31,10,10,10,15,4,17,0.00,0,,304
2009-1-29,68,54,40,38,33,30,82,55,28,30.38,30.33,30.30,10,10,10,12,4,15,0.00,0,,297
2009-1-30,67,52,37,40,36,31,71,53,34,30.34,30.27,30.20,10,10,10,8,2,10,0.00,0,,325
2009-1-31,66,54,41,45,41,36,100,70,40,30.22,30.17,30.10,10,5,0,10,2,,0.00,4,Fog,171
