PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-5-1,85,70,55,51,33,17,67,38,9,30.10,29.98,29.86,10,10,10,20,9,26,0.00,0,,294
2013-5-2,92,74,55,50,39,26,67,40,12,30.15,30.11,30.07,10,10,10,20,5,23,0.00,0,,304
2013-5-3,90,72,54,44,35,24,57,34,10,30.09,29.94,29.81,10,10,10,18,7,29,0.00,0,,285
2013-5-4,87,71,55,50,42,37,66,42,18,29.79,29.67,29.56,10,10,8,28,8,37,0.00,0,,208
2013-5-5,71,62,53,50,47,43,77,57,37,29.82,29.71,29.63,10,10,10,26,12,35,0.00,4,,157
2013-5-6,70,63,56,49,48,46,72,58,44,29.98,29.87,29.82,10,10,10,17,8,22,T,6,Rain,175
2013-5-7,73,65,56,52,50,48,80,62,44,30.06,30.00,29.97,10,10,10,20,7,23,0.00,3,,302
2013-5-8,67,61,55,54,51,48,86,72,58,30.17,30.11,30.06,10,10,10,18,8,23,0.00,5,,313
2013-5-9,67,60,53,51,49,48,83,70,56,30.20,30.16,30.11,10,10,10,21,9,24,0.00,5,,309
2013-5-10,68,61,54,54,51,48,93,76,58,30.21,30.17,30.13,10,10,10,15,8,20,0.00,3,,309
2013-5-11,83,68,53,56,53,50,93,66,39,30.17,30.11,30.05,10,9,6,16,6,18,0.00,2,,293
2013-5-12,78,66,54,59,53,46,86,64,41,30.16,30.11,30.06,10,10,10,20,6,24,0.00,0,,310
2013-5-13,77,65,53,57,53,50,93,72,50,30.12,30.05,29.98,10,10,10,18,8,23,0.00,0,,306
2013-5-14,77,65,53,53,49,44,89,67,44,30.05,29.98,29.96,10,10,10,18,8,23,0.00,0,,343
2013-5-15,71,61,51,48,45,41,83,60,36,30.08,30.06,30.04,10,10,9,18,8,22,0.00,0,,331
2013-5-16,72,63,54,54,51,47,86,69,51,30.06,30.04,29.99,10,10,10,20,7,25,0.01,4,Rain,323
2013-5-17,70,60,50,48,45,42,77,57,37,30.11,30.05,30.01,10,10,10,23,7,28,0.00,0,,305
2013-5-18,73,60,46,52,46,41,80,59,38,30.15,30.12,30.10,10,10,10,20,7,25,0.00,0,,323
2013-5-19,81,67,52,51,47,39,89,59,28,30.13,30.07,29.99,10,10,10,22,8,28,0.00,0,,309
2013-5-20,89,71,53,51,46,36,72,44,15,30.01,29.98,29.92,10,10,10,22,7,27,0.00,0,,308
2013-5-21,69,60,51,49,45,37,83,62,40,30.02,29.99,29.95,10,10,10,25,11,30,0.00,0,,313
2013-5-22,66,57,48,41,35,27,68,47,25,30.03,29.99,29.94,10,10,10,23,12,28,0.00,0,,289
2013-5-23,67,57,47,44,41,38,76,59,42,30.03,29.99,29.96,10,10,10,21,7,25,0.00,1,,318
2013-5-24,71,58,45,46,42,38,80,60,40,30.02,30.00,29.97,10,10,10,24,8,30,0.00,0,,322
2013-5-25,68,58,47,48,44,41,80,62,44,30.09,30.04,30.01,10,10,4,21,8,25,0.00,1,,331
2013-5-26,72,64,55,52,51,48,86,65,44,30.16,30.12,30.09,10,10,10,20,10,24,0.00,4,,319
2013-5-27,67,60,53,54,51,47,83,71,58,30.16,30.11,30.03,10,10,10,18,7,24,T,7,Rain,314
2013-5-28,71,64,57,56,53,48,84,68,52,30.02,29.99,29.94,10,10,10,21,9,30,T,5,,325
2013-5-29,70,63,55,54,49,45,72,60,47,29.99,29.97,29.94,10,10,10,21,9,29,0.00,4,,332
2013-5-30,74,63,51,48,46,40,83,56,29,30.01,29.98,29.96,10,10,10,20,7,23,0.00,0,,316
2013-5-31,84,68,52,52,47,42,83,54,24,30.03,29.98,29.91,10,10,6,17,7,22,0.00,0,,306
