MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-10-1,85,71,57,46,40,33,55,36,16,30.12,30.04,29.96,10,10,10,13,6,15,0.00,2,,156
2008-10-2,84,70,55,47,38,31,57,37,16,29.94,29.84,29.73,10,10,10,25,8,33,T,4,,115
2008-10-3,77,68,58,48,44,39,64,46,27,29.83,29.72,29.57,10,10,7,25,10,31,T,6,Rain-Thunderstorm,154
2008-10-4,71,61,50,50,45,31,89,56,23,29.75,29.67,29.55,10,7,2,29,11,36,0.69,8,Rain,162
2008-10-5,61,54,47,48,43,37,93,68,42,30.00,29.90,29.78,10,9,3,20,5,23,0.43,6,Rain-Thunderstorm,39
2008-10-6,65,57,48,43,40,36,80,57,34,30.23,30.14,30.00,10,10,10,15,5,18,0.00,3,,130
2008-10-7,73,60,46,40,38,32,76,50,24,30.28,30.18,30.06,10,10,10,15,8,18,0.00,2,,160
2008-10-8,68,58,47,45,40,36,71,53,34,30.10,30.01,29.88,10,10,10,14,6,16,0.00,1,,289
2008-10-9,63,53,42,44,36,25,83,58,32,29.85,29.73,29.65,10,10,10,24,9,29,0.00,4,,336
2008-10-10,49,41,32,26,22,15,69,48,26,29.80,29.78,29.69,10,10,10,20,10,24,0.00,5,,347
2008-10-11,47,40,33,34,30,25,92,69,45,29.86,29.70,29.50,10,7,2,30,10,36,0.11,7,Rain-Snow,324
2008-10-12,40,37,33,34,30,27,89,77,64,30.35,30.11,29.85,10,6,1,18,6,24,0.06,7,Rain-Snow,82
2008-10-13,46,40,33,32,29,23,89,65,40,30.53,30.46,30.34,10,10,10,16,6,20,T,4,,326
2008-10-14,54,44,33,34,29,26,82,61,35,30.46,30.36,30.27,10,10,10,10,6,,0.00,0,,147
2008-10-15,67,52,37,41,35,30,82,54,26,30.26,30.18,30.09,10,10,10,18,7,21,0.00,1,,165
2008-10-16,66,52,38,40,36,32,82,57,31,30.31,30.24,30.15,10,10,8,9,5,12,0.00,2,,213
2008-10-17,71,57,42,42,35,32,70,48,26,30.36,30.27,30.16,10,10,10,12,6,16,0.00,0,,125
2008-10-18,77,62,46,39,32,22,60,36,12,30.14,30.04,29.94,10,10,10,22,9,28,0.00,4,,156
2008-10-19,70,56,42,41,36,30,76,52,28,30.14,30.05,29.96,10,10,10,13,5,14,0.00,4,,217
2008-10-20,71,59,47,42,35,32,76,51,26,30.10,30.00,29.94,10,10,10,20,8,23,0.00,5,,150
2008-10-21,54,46,38,37,26,12,70,45,19,30.47,30.23,30.01,10,10,10,23,10,28,0.00,2,,337
2008-10-22,50,40,29,25,20,11,69,45,21,30.64,30.54,30.44,10,10,10,14,7,23,0.00,1,,337
2008-10-23,58,45,31,29,21,14,63,41,19,30.43,30.30,30.18,10,10,10,10,5,13,0.00,0,,136
2008-10-24,60,46,31,30,24,19,64,42,20,30.25,30.22,30.17,10,10,10,9,5,10,0.00,3,,152
2008-10-25,70,54,37,36,25,18,70,42,14,30.28,30.23,30.16,10,10,10,13,5,15,0.00,1,,123
2008-10-26,64,51,37,37,33,29,70,52,34,30.43,30.37,30.27,10,10,9,10,5,17,0.00,2,,178
2008-10-27,69,53,37,38,33,27,73,49,24,30.48,30.39,30.32,18,10,10,9,3,12,0.00,1,,168
2008-10-28,71,55,38,38,33,31,76,50,24,30.40,30.31,30.18,10,10,9,8,3,10,0.00,1,,190
2008-10-29,70,54,37,40,33,26,76,49,21,30.20,30.13,30.07,10,10,8,14,5,15,0.00,1,,322
2008-10-30,77,59,41,39,31,27,57,38,18,30.17,30.12,30.07,10,10,10,18,7,23,0.00,1,,143
2008-10-31,73,63,53,47,32,25,62,41,20,30.25,30.20,30.13,10,10,10,26,14,32,T,6,Rain,150
