MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-2-1,46,36,26,30,27,24,92,73,53,30.47,30.34,30.26,10,9,5,12,5,13,0.00,3,,117
2013-2-2,35,25,14,26,22,11,96,84,72,30.61,30.51,30.42,10,6,0,9,4,10,0.00,3,Fog,295
2013-2-3,28,26,24,26,24,21,100,91,81,30.42,30.29,30.20,2,1,0,10,3,14,T,8,Fog-Snow,336
2013-2-4,32,25,18,23,21,16,100,85,69,30.34,30.28,30.17,6,2,0,14,4,16,T,6,Fog-Snow,345
2013-2-5,32,25,17,26,22,14,100,89,78,30.27,30.11,29.94,6,2,0,16,6,19,0.00,6,Fog,341
2013-2-6,33,29,24,27,26,23,92,89,85,30.27,30.13,29.95,2,1,0,10,4,13,T,8,Fog,303
2013-2-7,34,25,16,24,20,14,92,79,66,30.28,30.14,29.90,10,4,0,15,5,19,0.00,4,Fog,343
2013-2-8,43,31,19,30,25,17,100,79,57,29.92,29.74,29.65,10,4,0,23,4,31,0.03,6,Fog-Snow,324
2013-2-9,32,28,23,29,27,23,100,89,78,29.91,29.76,29.67,10,3,0,21,7,27,0.02,8,Fog-Snow,307
2013-2-10,31,26,20,27,24,21,100,86,72,30.09,29.95,29.86,10,4,1,14,5,16,0.10,7,Snow,311
2013-2-11,30,23,16,22,17,11,100,84,68,30.35,30.19,30.03,10,8,2,13,5,14,0.01,5,Snow,313
2013-2-12,30,20,9,21,16,6,88,73,58,30.45,30.42,30.36,10,10,9,14,6,17,0.00,7,,158
2013-2-13,38,32,25,27,24,21,88,74,59,30.43,30.35,30.28,10,10,9,14,5,16,0.00,7,,120
2013-2-14,40,33,26,27,25,21,85,72,59,30.48,30.38,30.27,10,9,5,9,5,11,T,4,Snow,305
2013-2-15,40,33,25,27,24,20,85,70,54,30.58,30.53,30.47,10,10,4,10,5,13,0.00,4,,168
2013-2-16,38,31,24,27,23,20,92,76,59,30.52,30.34,30.07,10,7,4,12,5,13,0.00,2,,184
2013-2-17,36,29,22,28,24,19,100,82,63,30.15,29.99,29.90,10,4,0,13,4,16,T,6,Fog,326
2013-2-18,39,31,22,21,17,11,88,62,35,30.19,30.11,29.95,10,10,10,15,7,19,0.00,4,,154
2013-2-19,51,37,23,28,19,14,81,55,29,29.89,29.70,29.56,10,10,10,15,11,18,0.00,6,,155
2013-2-20,40,35,30,30,28,23,92,76,59,29.82,29.65,29.54,10,8,3,16,8,18,0.05,7,Snow,314
2013-2-21,35,31,26,28,23,18,92,72,51,30.09,29.97,29.81,10,8,3,13,4,16,0.03,6,Snow,332
2013-2-22,37,31,25,27,22,16,100,76,51,30.20,30.12,30.04,10,6,1,14,6,17,0.10,7,Snow,155
2013-2-23,37,31,25,29,24,17,100,76,51,30.04,29.91,29.70,10,4,0,36,12,48,0.27,8,Fog-Snow,304
2013-2-24,31,22,13,25,16,12,100,77,53,30.36,30.19,29.99,10,9,0,15,6,16,T,4,Fog-Snow,323
2013-2-25,36,27,17,21,16,11,75,59,43,30.36,30.21,30.08,10,10,10,15,8,18,0.00,4,,161
2013-2-26,33,28,22,25,21,17,92,74,56,30.40,30.23,30.09,10,8,2,16,7,21,0.01,5,Snow,329
2013-2-27,35,27,19,19,14,11,74,61,47,30.50,30.47,30.33,10,10,10,12,6,13,0.00,3,,135
2013-2-28,39,31,22,26,18,12,75,59,43,30.53,30.50,30.43,10,10,10,12,5,13,0.00,5,,77
