PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-11-1,63,60,57,58,56,55,97,90,77,30.09,29.98,29.89,10,6,1,21,8,26,1.69,7,Rain,157
2008-11-2,66,60,54,57,54,51,94,84,63,30.07,30.02,29.92,10,10,9,18,10,21,0.02,2,Rain,179
2008-11-3,60,56,52,53,51,48,96,87,72,30.05,29.91,29.75,10,9,5,24,10,34,0.08,4,Rain,170
2008-11-4,62,54,44,47,42,36,86,68,39,30.19,30.08,29.94,10,10,10,12,6,,0.00,0,,219
2008-11-5,59,48,37,46,42,37,100,80,51,30.31,30.26,30.20,10,9,0,10,4,,0.00,3,Fog,336
2008-11-6,68,56,45,50,46,41,93,73,47,30.37,30.31,30.26,10,10,10,14,8,,0.00,1,,321
2008-11-7,69,56,43,53,49,42,97,80,54,30.27,30.20,30.12,10,10,9,5,1,,0.01,0,Fog,148
2008-11-8,63,54,46,57,50,45,97,83,63,30.10,29.95,29.81,10,9,4,15,4,23,0.02,3,Fog-Rain,199
2008-11-9,64,56,48,49,46,43,89,73,45,29.93,29.85,29.80,10,10,10,15,5,,0.02,2,Rain,293
2008-11-10,62,52,42,49,46,40,100,84,58,30.16,30.06,29.95,10,10,8,6,2,,0.01,1,,163
2008-11-11,61,53,45,52,49,44,97,86,64,30.29,30.24,30.16,10,9,2,7,2,,0.00,3,Fog,315
2008-11-12,66,58,50,53,50,47,96,81,59,30.32,30.26,30.21,10,10,6,7,4,,0.01,0,,262
2008-11-13,75,58,42,55,51,43,100,81,46,30.23,30.17,30.08,10,7,0,17,5,20,0.00,1,Fog,318
2008-11-14,80,66,52,50,44,40,86,52,25,30.17,30.12,30.08,10,10,10,16,8,,0.00,0,,345
2008-11-15,73,58,42,55,49,40,100,77,44,30.20,30.13,30.09,10,8,3,10,2,,0.00,0,Fog,22
2008-11-16,75,60,44,54,48,44,100,84,43,30.16,30.12,30.08,10,5,0,7,1,,0.01,0,Fog,325
2008-11-17,75,60,46,51,48,44,96,74,40,30.21,30.15,30.11,10,9,7,7,4,,0.01,0,Fog,328
2008-11-18,72,56,39,52,47,40,100,77,41,30.19,30.13,30.08,10,8,1,5,1,,0.00,0,Fog,328
2008-11-19,66,54,41,53,47,39,100,85,59,30.15,30.11,30.07,9,5,0,12,2,,0.01,1,Fog,171
2008-11-20,68,58,48,56,50,41,93,80,56,30.24,30.19,30.11,10,8,3,17,9,,0.00,1,,181
2008-11-21,63,52,41,48,40,36,100,66,41,30.19,30.13,30.07,10,9,6,18,8,,0.00,0,Fog,32
2008-11-22,59,48,37,50,44,38,100,91,62,30.18,30.12,30.09,10,3,0,7,2,,0.01,2,Fog,318
2008-11-23,64,50,35,48,42,34,100,87,56,30.12,30.08,30.03,10,5,0,5,1,,0.01,0,Fog,358
2008-11-24,66,52,39,48,43,38,96,78,43,30.08,30.04,30.00,10,8,3,9,4,,0.00,0,Fog,327
2008-11-25,61,54,46,51,48,44,90,80,67,30.09,30.02,29.97,10,6,5,13,5,,0.00,1,,270
2008-11-26,54,50,46,52,48,45,100,91,80,30.00,29.92,29.86,9,5,0,10,4,,0.07,6,Fog-Rain,108
2008-11-27,62,54,46,52,49,45,100,89,67,30.21,30.09,30.01,10,5,0,9,3,,0.01,2,Fog,249
2008-11-28,55,48,41,52,47,41,100,95,80,30.32,30.25,30.21,10,3,0,6,2,,0.00,4,Fog,9
2008-11-29,60,50,39,51,45,39,100,92,72,30.24,30.21,30.15,10,4,0,7,2,,0.01,1,Fog,232
2008-11-30,63,50,37,52,44,37,100,91,63,30.23,30.18,30.12,10,4,0,5,1,,0.00,1,Fog,237
