PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-4-1,68,56,45,41,34,27,80,47,22,30.06,30.02,29.97,10,10,10,9,3,,0.00,0,,275
2008-4-2,71,53,36,46,39,32,97,64,25,30.05,30.00,29.97,10,10,10,9,4,,0.00,0,,174
2008-4-3,73,58,42,48,42,37,86,62,27,30.21,30.13,30.07,10,10,10,12,5,,0.00,0,,175
2008-4-4,70,58,46,44,41,37,83,62,31,30.17,30.09,29.99,10,10,10,17,11,23,0.00,0,,171
2008-4-5,68,50,36,44,41,34,93,72,43,30.04,29.99,29.92,10,10,10,16,8,,0.00,1,,162
2008-4-6,66,54,43,45,41,38,82,63,38,30.11,30.04,29.96,10,10,10,18,9,26,0.00,1,,166
2008-4-7,66,50,35,42,35,14,96,60,14,30.19,30.11,30.04,10,10,10,9,4,20,0.00,0,,266
2008-4-8,64,55,46,42,40,37,79,64,40,30.05,29.96,29.90,10,10,10,12,8,,0.00,3,,172
2008-4-9,69,52,36,45,39,34,93,64,28,30.05,30.01,29.97,10,10,10,9,4,,0.00,0,,192
2008-4-10,78,59,41,43,37,29,93,48,18,30.16,30.10,30.05,10,10,9,21,8,29,0.00,0,,321
2008-4-11,84,66,51,47,37,30,56,36,18,30.17,30.11,30.05,10,10,10,16,10,,0.00,0,,315
2008-4-12,87,68,48,48,44,36,83,47,16,30.18,30.11,30.05,10,10,10,6,3,,0.00,0,,360
2008-4-13,88,68,50,50,44,40,80,44,21,30.08,29.98,29.88,10,10,10,12,4,,0.00,0,,218
2008-4-14,72,60,45,48,40,27,80,54,19,30.08,29.96,29.90,10,10,10,22,13,32,0.00,0,,203
2008-4-15,66,50,34,37,28,19,85,44,17,30.20,30.13,30.08,10,10,9,18,7,24,0.00,0,,320
2008-4-16,77,60,44,36,31,28,65,36,18,30.13,30.08,30.03,10,10,10,25,13,31,0.00,0,,332
2008-4-17,80,60,41,45,38,33,73,47,19,30.12,30.05,29.98,10,10,10,10,5,,0.00,0,,163
2008-4-18,77,64,51,49,43,37,77,52,24,29.99,29.88,29.74,10,10,9,17,11,20,0.00,0,,174
2008-4-19,70,56,44,43,36,26,83,56,23,30.04,29.83,29.72,10,10,9,23,13,31,0.00,0,,201
2008-4-20,61,48,35,36,27,16,85,50,19,30.20,30.14,30.07,10,10,10,15,3,,0.00,0,,199
2008-4-21,62,50,37,37,34,28,86,56,31,30.20,30.13,30.09,10,10,10,13,8,20,0.00,1,,158
2008-4-22,66,55,46,48,42,37,77,63,38,30.10,30.02,29.99,10,10,10,13,9,23,0.01,4,Rain,175
2008-4-23,64,54,43,50,41,33,93,64,38,30.20,30.06,29.99,10,10,10,21,10,25,0.00,3,,210
2008-4-24,71,53,35,38,32,24,89,50,17,30.30,30.24,30.19,10,10,10,16,7,22,0.00,0,,326
2008-4-25,80,60,39,42,36,26,82,46,14,30.26,30.20,30.12,10,10,10,12,3,,0.00,0,,324
2008-4-26,90,70,50,47,43,33,74,42,14,30.15,30.09,30.00,10,10,10,14,7,20,0.00,0,,327
2008-4-27,91,69,48,54,48,44,89,50,20,30.08,30.02,29.96,10,10,10,10,3,,0.00,0,,194
2008-4-28,87,70,53,54,48,45,75,51,24,30.03,29.96,29.87,10,10,10,14,7,21,0.00,0,,185
2008-4-29,71,59,48,49,39,33,80,51,26,30.01,29.95,29.90,10,10,10,16,12,24,0.00,0,,230
2008-4-30,70,55,41,39,28,13,70,41,12,30.11,30.05,30.00,10,10,10,22,7,28,0.00,0,,320
