PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-3-1,83,68,52,47,43,37,71,46,21,30.06,30.02,29.99,10,10,7,12,2,18,0.00,3,,229
2009-3-2,71,63,55,53,47,43,72,55,38,30.10,30.06,30.01,10,10,9,13,1,17,T,4,,270
2009-3-3,68,62,55,54,50,42,93,68,42,30.13,30.09,30.06,10,10,8,12,3,15,0.00,4,,245
2009-3-4,62,56,50,53,49,45,86,76,62,30.11,30.08,30.06,10,10,8,15,5,21,0.00,5,,187
2009-3-5,62,55,47,46,42,34,86,61,36,30.17,30.12,30.07,10,10,10,14,3,17,0.00,2,,241
2009-3-6,61,54,47,46,44,41,80,68,55,30.12,30.07,30.02,10,10,10,15,5,20,0.00,4,,207
2009-3-7,63,57,50,48,44,40,83,65,46,30.11,30.05,30.02,10,10,10,13,5,17,0.00,2,,141
2009-3-8,63,55,47,47,46,43,80,68,56,30.04,30.01,29.96,10,10,10,14,4,17,0.00,3,,186
2009-3-9,61,56,51,48,45,41,77,66,55,30.07,30.02,29.98,10,10,10,13,5,20,T,5,Rain,202
2009-3-10,62,55,48,46,41,37,72,58,43,30.11,30.05,30.00,10,10,10,13,5,17,0.00,1,,178
2009-3-11,61,55,49,45,43,42,74,65,55,30.07,30.05,30.02,10,10,10,13,5,16,0.00,6,,177
2009-3-12,63,58,53,45,41,38,66,55,43,30.10,30.05,30.03,10,10,10,13,4,20,0.00,4,,281
2009-3-13,64,56,47,52,46,40,86,71,56,30.10,30.05,29.99,10,9,6,13,5,17,0.00,2,,192
2009-3-14,62,58,54,49,47,46,77,69,60,30.04,30.00,29.97,10,9,6,14,6,18,0.00,7,,177
2009-3-15,62,57,52,48,45,43,83,66,48,30.18,30.08,30.01,10,9,6,16,5,21,0.00,5,,199
2009-3-16,70,59,48,49,45,42,80,63,45,30.22,30.17,30.12,10,9,7,12,3,18,0.00,0,,250
2009-3-17,74,63,51,51,47,44,83,61,38,30.15,30.09,30.02,10,8,5,10,3,14,0.00,0,,234
2009-3-18,78,66,53,56,50,47,93,65,36,30.06,29.99,29.93,10,8,2,12,4,14,0.00,1,,228
2009-3-19,67,60,52,54,52,50,93,78,63,29.99,29.95,29.90,10,3,1,15,4,18,0.00,6,,218
2009-3-20,61,58,55,52,50,48,86,78,69,29.96,29.93,29.90,8,5,3,13,5,16,0.00,6,,213
2009-3-21,61,58,55,50,47,46,77,69,60,30.11,30.03,29.97,10,10,9,9,4,13,0.00,7,,189
2009-3-22,63,58,53,52,44,23,86,57,27,30.14,30.10,30.07,10,9,3,21,8,30,0.05,6,Rain,266
2009-3-23,67,55,43,42,32,24,66,45,24,30.12,30.08,30.03,10,10,10,15,5,18,0.00,0,,257
2009-3-24,79,63,47,48,31,15,77,43,9,30.09,30.04,29.98,10,10,10,14,4,20,0.00,0,,300
2009-3-25,72,61,49,52,42,34,80,54,27,30.06,29.99,29.94,10,10,10,13,5,16,0.00,2,,211
2009-3-26,65,59,53,50,48,45,89,73,56,29.94,29.89,29.84,10,9,7,15,6,20,0.00,2,,177
2009-3-27,82,68,54,51,40,16,86,48,9,30.00,29.96,29.91,10,9,5,16,4,23,0.00,1,,285
2009-3-28,77,64,51,52,44,36,83,53,23,29.99,29.93,29.86,10,10,7,12,5,15,0.00,0,,219
2009-3-29,64,60,55,54,51,48,93,79,65,29.89,29.86,29.82,10,8,4,17,8,26,0.00,7,Rain,180
2009-3-30,68,61,54,49,46,36,77,57,36,30.05,29.96,29.88,10,10,8,14,5,18,0.00,2,,174
2009-3-31,69,60,51,52,49,46,89,67,45,30.06,30.00,29.91,10,9,7,14,4,18,0.00,0,,201
