PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,59,51,43,39,35,22,76,52,27,30.24,30.16,30.09,10,10,9,12,1,16,0.00,4,,38
2013-1-2,66,55,44,41,25,13,68,42,15,30.12,30.07,30.04,10,10,10,16,4,24,0.00,0,,169
2013-1-3,69,55,40,47,34,25,70,44,18,30.17,30.10,30.05,10,10,10,12,2,14,0.00,0,,218
2013-1-4,66,53,39,35,27,15,70,43,15,30.28,30.21,30.18,10,10,10,8,1,10,0.00,0,,258
2013-1-5,61,50,39,47,36,27,83,58,32,30.29,30.23,30.19,10,10,8,9,2,13,0.00,3,,201
2013-1-6,58,52,46,48,45,40,93,75,57,30.21,30.13,30.03,10,7,2,15,3,20,0.09,6,Rain,174
2013-1-7,65,54,42,44,40,26,100,63,25,30.10,30.03,29.99,10,10,7,10,2,15,0.00,1,,327
2013-1-8,64,53,41,49,44,36,83,68,52,30.11,30.07,30.02,10,10,10,13,2,16,0.00,1,,208
2013-1-9,66,55,44,54,47,41,93,75,56,30.14,30.07,30.02,10,8,5,10,4,14,0.00,5,Fog,189
2013-1-10,59,54,48,49,39,22,77,55,32,30.10,29.99,29.92,10,10,5,17,7,25,0.03,5,Rain,252
2013-1-11,56,47,38,31,24,19,60,42,24,30.19,30.12,30.06,10,10,2,14,5,21,0.00,1,,296
2013-1-12,55,45,35,32,27,22,64,47,30,30.17,30.11,30.08,10,10,10,12,3,16,0.00,1,,214
2013-1-13,55,46,36,33,27,15,70,47,24,30.17,30.11,30.07,10,10,10,12,3,14,0.00,2,,298
2013-1-14,57,50,42,20,3,-5,31,20,9,30.33,30.26,30.15,10,10,10,25,9,32,0.00,0,,43
2013-1-15,60,48,36,32,21,11,48,33,17,30.45,30.37,30.32,10,10,10,13,2,16,0.00,1,,270
2013-1-16,64,52,39,43,34,28,65,50,34,30.35,30.25,30.12,10,10,2,14,3,16,0.00,0,,224
2013-1-17,77,59,41,35,30,17,70,41,11,30.16,30.10,30.04,10,10,10,12,3,17,0.00,0,,211
2013-1-18,79,62,44,37,30,20,60,36,11,30.13,30.09,30.04,10,10,10,10,2,13,0.00,2,,247
2013-1-19,77,60,43,36,31,20,70,41,12,30.18,30.11,30.07,10,10,10,9,2,12,0.00,1,,237
2013-1-20,78,60,42,40,32,26,62,39,16,30.13,30.07,30.00,10,10,10,10,2,13,0.00,0,,215
2013-1-21,77,60,42,42,33,16,67,39,10,30.09,30.04,30.00,10,10,10,12,3,14,0.00,0,,213
2013-1-22,79,61,42,32,27,12,58,34,9,30.09,30.05,30.01,10,10,9,8,2,10,0.00,3,,249
2013-1-23,76,64,52,52,37,33,46,36,25,30.14,30.05,30.01,10,9,4,16,2,18,0.00,6,Rain,206
2013-1-24,69,62,55,56,53,49,93,76,59,30.20,30.13,30.10,10,7,2,10,4,15,0.58,7,Rain,59
2013-1-25,67,63,59,60,57,55,93,83,73,30.10,30.02,29.95,10,8,2,9,3,22,0.27,8,Rain,328
2013-1-26,66,61,55,59,57,53,97,85,73,30.01,29.93,29.90,10,4,0,14,4,16,0.31,7,Fog-Rain,206
2013-1-27,59,57,54,54,48,43,93,78,62,30.04,30.00,29.98,10,8,2,17,7,23,T,6,,183
2013-1-28,51,49,47,38,38,38,77,74,71,30.14,30.09,30.04,10,10,10,0,0,,0.00,0,,-1
2013-1-29,57,54,48,43,40,37,57,54,51,30.22,30.19,30.16,10,10,10,12,10,,0.00,3,,192
2013-1-30,68,56,43,43,40,36,82,58,34,30.34,30.26,30.21,10,10,10,8,3,12,0.00,2,,295
2013-1-31,81,63,45,50,43,37,76,50,23,30.22,30.15,30.09,10,10,10,10,2,16,0.00,1,,225
