CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-3-1,58,42,25,31,27,22,88,58,28,30.36,30.26,30.15,10,9,4,16,6,20,T,2,,140
2011-3-2,53,42,31,32,30,28,82,60,38,30.43,30.35,30.24,10,10,8,16,7,21,0.00,2,,45
2011-3-3,63,49,34,46,34,27,82,59,36,30.32,30.15,30.01,10,10,10,18,11,26,0.00,6,,125
2011-3-4,71,62,53,55,52,45,93,75,57,30.01,29.90,29.84,10,6,1,23,10,28,1.36,8,Rain-Thunderstorm,201
2011-3-5,53,43,33,50,35,30,93,88,82,30.33,30.15,29.90,7,4,2,22,14,28,0.37,8,Rain-Thunderstorm,317
2011-3-6,44,38,32,31,28,24,89,71,53,30.35,30.28,30.21,10,9,4,20,8,22,T,7,Snow,28
2011-3-7,47,41,34,33,31,29,82,70,58,30.23,30.16,30.09,10,10,9,22,12,25,T,8,,135
2011-3-8,48,45,41,46,41,33,93,82,70,30.13,29.97,29.80,10,6,2,18,12,23,0.47,8,Rain,105
2011-3-9,49,44,38,47,39,34,93,82,71,30.07,29.89,29.77,10,8,4,26,14,35,T,8,Rain,275
2011-3-10,39,35,31,34,30,27,85,75,64,30.26,30.20,30.05,10,8,5,23,12,28,T,6,Rain,300
2011-3-11,60,43,26,36,30,24,92,62,32,30.22,30.09,29.90,10,9,5,22,9,26,0.00,3,,183
2011-3-12,65,55,44,36,32,25,60,41,22,30.18,30.04,29.94,10,10,10,22,10,25,0.00,5,,296
2011-3-13,48,41,34,33,31,28,89,74,58,30.41,30.34,30.20,10,8,2,16,9,21,0.27,7,Rain-Snow,43
2011-3-14,39,37,34,35,33,30,96,91,85,30.36,30.23,30.12,8,3,1,18,10,25,1.21,8,Rain-Snow,37
2011-3-15,46,41,36,38,36,32,100,85,70,30.19,30.12,30.08,9,4,2,16,6,20,T,7,Rain,328
2011-3-16,67,51,35,41,35,29,76,54,32,30.24,30.15,30.07,10,10,9,15,8,28,0.00,4,,200
2011-3-17,83,68,53,57,51,41,71,54,37,30.04,29.94,29.81,10,10,10,13,12,17,0.00,5,,199
2011-3-18,69,59,48,58,43,38,71,61,51,30.35,30.20,29.98,10,10,8,20,8,25,0.03,7,Rain,355
2011-3-19,58,50,42,45,38,34,86,65,43,30.45,30.37,30.26,10,10,7,23,11,28,0.31,7,Rain-Thunderstorm,82
2011-3-20,82,65,47,52,42,36,86,55,23,30.27,30.09,29.92,10,10,10,24,12,31,0.00,5,,169
2011-3-21,82,74,65,55,51,41,53,45,37,30.06,29.99,29.91,10,10,9,17,9,24,0.00,6,,215
2011-3-22,76,68,60,55,53,50,67,55,43,29.91,29.73,29.53,10,10,8,24,11,31,T,7,,183
2011-3-23,75,60,44,54,40,29,59,39,19,29.90,29.62,29.47,10,10,9,38,19,48,0.00,2,,271
2011-3-24,44,39,33,34,27,24,70,62,54,30.22,30.11,29.91,10,10,7,22,10,26,0.02,8,Rain-Snow,7
2011-3-25,39,36,33,34,31,26,92,76,59,30.21,30.07,30.02,10,4,0,16,8,18,0.27,8,Fog-Rain-Snow,97
2011-3-26,39,36,32,32,28,24,92,81,69,30.08,30.00,29.93,10,4,0,18,10,23,0.39,8,Fog-Snow,47
2011-3-27,44,36,28,26,20,15,75,54,33,30.19,30.13,30.08,10,10,10,17,10,20,0.00,6,,48
2011-3-28,49,40,31,23,20,17,69,49,29,30.24,30.18,30.12,10,10,9,16,9,20,T,6,,69
2011-3-29,46,43,39,33,26,22,79,60,41,30.25,30.19,30.15,10,10,8,18,10,21,T,8,Rain,75
2011-3-30,53,44,34,34,30,25,82,61,39,30.13,30.06,29.94,10,8,3,15,7,21,0.04,6,Rain-Snow,356
2011-3-31,54,45,36,31,29,25,76,56,35,29.93,29.82,29.74,10,9,7,8,3,12,0.00,6,,273
