CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,31,24,17,27,17,10,85,71,57,30.33,30.23,30.12,10,7,2,18,8,22,T,7,Snow,345
2013-1-2,33,24,15,16,12,9,80,58,35,30.33,30.28,30.24,10,9,6,9,3,15,0.00,4,,212
2013-1-3,40,31,21,25,21,16,77,64,50,30.43,30.36,30.25,10,10,7,18,8,23,0.00,2,,269
2013-1-4,41,32,24,22,20,18,78,59,37,30.46,30.40,30.34,10,10,9,15,7,,0.00,1,,251
2013-1-5,46,38,30,29,24,19,63,53,42,30.34,30.24,30.12,10,10,9,16,8,20,T,6,Rain-Snow,222
2013-1-6,43,34,25,30,22,18,75,64,52,30.43,30.28,30.11,10,9,6,23,10,30,0.00,3,,283
2013-1-7,46,35,23,27,22,17,75,60,45,30.44,30.32,30.18,10,9,7,17,7,22,0.00,2,,166
2013-1-8,54,41,27,34,26,21,78,54,29,30.24,30.17,30.12,10,10,8,17,6,20,0.00,5,,161
2013-1-9,58,49,39,42,34,29,83,61,38,30.49,30.39,30.20,10,10,10,15,7,18,T,7,Rain,311
2013-1-10,59,50,40,55,43,29,96,73,49,30.46,30.06,29.79,10,4,0,18,11,23,0.62,8,Fog-Rain,112
2013-1-11,64,57,50,52,46,45,89,71,52,29.88,29.82,29.78,10,10,10,22,13,28,0.00,6,,197
2013-1-12,58,45,32,48,36,28,85,66,47,29.96,29.91,29.80,10,8,2,21,11,30,0.65,7,Rain,315
2013-1-13,32,26,20,29,19,12,85,74,62,30.42,30.14,29.92,10,10,7,20,10,28,T,6,Rain-Snow,311
2013-1-14,27,22,17,15,13,10,80,68,55,30.54,30.48,30.42,10,10,10,9,5,14,0.00,2,,351
2013-1-15,31,24,17,20,16,12,84,69,53,30.47,30.34,30.20,10,10,8,12,5,15,0.00,5,,21
2013-1-16,43,32,20,23,18,15,84,60,36,30.19,30.14,30.06,10,10,8,17,7,21,0.00,2,,256
2013-1-17,42,35,27,28,23,19,82,63,44,30.53,30.37,30.15,10,10,9,18,8,22,0.00,3,,323
2013-1-18,56,40,24,26,21,18,81,54,26,30.53,30.34,30.16,10,10,10,22,9,26,0.00,0,,191
2013-1-19,66,54,42,32,29,25,53,42,30,30.14,30.05,29.93,10,10,10,28,14,35,0.00,0,,239
2013-1-20,47,36,25,27,14,9,72,55,38,30.38,30.31,30.15,10,10,9,24,10,32,0.00,4,,350
2013-1-21,27,21,15,11,2,-5,62,45,27,30.44,30.39,30.33,10,10,10,24,13,31,T,5,Snow,308
2013-1-22,18,16,13,9,5,-3,80,63,46,30.54,30.46,30.40,10,8,1,10,4,12,0.02,6,Snow,316
2013-1-23,42,28,13,21,15,8,80,61,41,30.42,30.31,30.19,10,10,8,17,6,22,0.00,3,,247
2013-1-24,28,22,16,13,6,0,61,52,42,30.64,30.49,30.30,10,10,10,20,13,26,0.00,6,,75
2013-1-25,45,36,27,19,14,7,52,43,33,30.29,30.19,30.14,10,10,10,16,8,21,T,6,Snow,263
2013-1-26,38,31,23,20,14,10,68,50,32,30.43,30.36,30.27,10,10,10,13,7,15,0.00,4,,62
2013-1-27,52,40,28,48,33,18,93,74,54,30.32,30.14,29.96,10,5,2,22,13,29,0.24,8,Rain,141
2013-1-28,74,63,52,59,56,51,89,73,57,29.97,29.92,29.84,10,10,8,20,11,26,T,6,Rain,181
2013-1-29,68,61,54,61,56,51,93,81,68,29.81,29.60,29.45,10,6,2,25,12,36,1.44,8,Rain-Thunderstorm,203
2013-1-30,54,41,27,52,34,16,93,73,53,29.95,29.57,29.37,10,9,4,35,19,44,0.15,8,Rain-Snow,256
2013-1-31,33,23,12,23,12,-2,68,59,49,30.42,30.11,29.94,10,9,2,29,18,38,T,6,Snow,285
