EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-2-1,63,55,47,63,55,43,100,89,77,30.15,30.07,29.99,10,8,3,13,7,21,0.05,8,Rain,62
2010-2-2,68,61,53,64,60,51,100,89,78,30.05,29.98,29.94,10,6,0,17,5,23,0.09,6,Rain,320
2010-2-3,66,58,49,51,47,46,96,74,52,30.15,30.10,30.05,10,10,10,12,6,17,0.00,3,,30
2010-2-4,76,64,51,57,53,47,89,68,46,30.14,30.07,29.98,10,10,10,14,7,22,0.00,4,,86
2010-2-5,75,69,62,68,63,57,100,84,68,29.97,29.81,29.72,10,7,0,22,11,30,0.62,7,Rain,196
2010-2-6,65,59,53,59,51,43,90,74,57,29.91,29.83,29.77,10,10,10,23,13,32,0.00,6,,295
2010-2-7,54,49,44,44,38,36,76,63,50,30.07,29.99,29.91,10,10,2,15,7,22,0.00,5,,341
2010-2-8,62,52,42,46,40,37,83,63,42,30.11,30.05,29.99,10,10,6,10,5,18,0.00,3,,20
2010-2-9,68,60,52,63,58,45,93,81,68,30.01,29.86,29.75,10,8,1,25,8,35,0.32,7,Rain,190
2010-2-10,60,52,43,54,35,28,86,64,41,30.10,30.03,29.91,10,10,0,25,12,32,0.00,1,,327
2010-2-11,57,48,39,35,28,22,70,49,27,30.13,30.04,29.96,10,10,10,14,6,25,0.00,5,,348
2010-2-12,51,48,44,48,43,34,93,75,56,29.96,29.73,29.49,10,8,0,30,10,39,0.71,8,Fog-Rain,13
2010-2-13,52,47,42,43,36,30,80,62,44,30.08,29.97,29.82,10,10,2,22,11,31,0.00,5,,320
2010-2-14,57,47,37,36,31,23,79,56,32,30.15,30.10,30.05,10,10,2,14,5,16,0.00,3,,338
2010-2-15,64,53,41,52,43,33,83,60,37,30.08,29.99,29.92,10,10,7,17,6,23,T,5,,229
2010-2-16,55,50,44,43,37,31,83,65,46,30.13,30.06,29.99,10,10,10,17,10,28,0.00,3,,317
2010-2-17,57,51,44,43,37,30,80,64,47,30.14,30.09,30.05,10,10,10,20,8,30,0.00,4,,303
2010-2-18,57,51,44,43,34,23,83,55,27,30.22,30.17,30.12,10,10,10,17,8,23,0.00,2,,316
2010-2-19,62,53,43,43,35,27,83,54,25,30.22,30.17,30.12,10,10,10,10,4,17,0.00,6,,337
2010-2-20,68,60,52,39,35,27,59,41,22,30.20,30.13,30.09,10,10,10,9,4,,0.00,4,,357
2010-2-21,75,63,51,57,49,37,78,62,46,30.11,30.03,29.95,10,10,10,12,4,,0.00,5,,183
2010-2-22,71,66,61,63,60,55,93,81,68,29.93,29.79,29.72,10,9,0,17,7,22,0.00,6,,173
2010-2-23,78,67,55,64,58,48,100,68,36,29.83,29.76,29.71,10,6,0,14,6,21,0.00,5,Fog,314
2010-2-24,70,60,50,59,51,43,93,83,72,30.14,29.82,29.75,10,9,4,22,9,29,0.05,7,Rain,352
2010-2-25,55,49,42,42,31,21,80,54,28,30.11,30.04,29.95,10,10,1,21,12,32,0.00,2,,324
2010-2-26,61,49,37,32,26,20,62,44,26,30.12,30.06,30.00,10,10,10,13,6,27,0.00,1,,348
2010-2-27,58,51,43,46,42,30,86,70,53,29.99,29.90,29.80,10,10,3,16,5,22,0.15,5,Rain,354
2010-2-28,64,55,45,42,38,32,86,59,32,30.06,30.02,29.96,10,10,2,20,8,32,0.00,2,,307
