EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-3-1,81,72,63,70,65,54,93,76,58,30.15,30.06,30.01,10,8,1,20,9,25,0.49,6,Rain,224
2011-3-2,80,69,58,57,52,47,80,58,36,30.19,30.14,30.08,10,10,10,15,9,23,0.00,2,,57
2011-3-3,79,69,58,55,51,45,87,61,35,30.24,30.18,30.14,10,10,9,17,9,29,0.00,2,,72
2011-3-4,80,70,59,58,53,51,78,59,39,30.26,30.20,30.15,10,10,2,15,7,24,0.00,2,,87
2011-3-5,81,72,63,63,59,55,84,63,42,30.21,30.11,30.01,10,10,4,14,7,24,0.05,6,Rain,125
2011-3-6,77,69,61,65,59,52,87,74,60,30.04,29.99,29.93,10,10,10,21,10,36,T,7,,225
2011-3-7,70,63,56,52,49,44,86,67,48,30.14,30.06,30.01,10,10,1,12,6,18,0.00,4,,355
2011-3-8,82,67,52,58,52,45,86,63,39,30.19,30.14,30.09,10,9,6,14,7,22,0.00,2,,82
2011-3-9,83,74,64,65,62,58,81,66,51,30.19,30.12,30.08,10,10,10,29,11,37,T,4,Rain,142
2011-3-10,69,62,55,61,54,43,90,67,44,30.17,30.09,30.04,10,8,2,22,9,31,1.06,7,Rain-Thunderstorm,330
2011-3-11,63,56,48,44,41,36,77,58,39,30.27,30.20,30.14,10,10,10,21,7,26,0.00,1,,337
2011-3-12,69,58,47,43,39,28,80,53,26,30.32,30.27,30.22,10,10,10,10,4,23,0.00,0,,301
2011-3-13,73,61,48,54,47,41,80,59,38,30.32,30.27,30.23,10,10,10,14,5,15,0.00,0,,326
2011-3-14,76,64,52,56,50,44,77,58,38,30.26,30.22,30.17,10,10,7,14,5,18,0.00,3,,288
2011-3-15,76,67,58,55,52,50,80,62,43,30.28,30.22,30.18,10,10,7,12,4,13,0.00,3,,280
2011-3-16,77,69,60,58,54,52,84,65,46,30.28,30.23,30.20,10,10,10,13,4,22,0.00,2,,292
2011-3-17,80,71,61,61,56,45,97,65,32,30.31,30.26,30.21,10,7,0,14,4,24,0.00,2,Fog,313
2011-3-18,81,71,61,62,59,56,93,68,42,30.31,30.25,30.20,10,9,1,15,5,23,0.00,1,,295
2011-3-19,83,73,62,61,56,41,90,58,26,30.27,30.23,30.17,10,10,7,14,4,21,0.00,0,,310
2011-3-20,87,74,60,62,57,51,90,62,34,30.32,30.26,30.21,10,10,9,14,7,22,0.00,1,,53
2011-3-21,83,74,64,63,61,58,87,66,45,30.33,30.28,30.21,10,10,6,14,6,21,0.00,2,,44
2011-3-22,80,72,63,63,58,55,84,66,48,30.25,30.15,30.05,10,9,7,13,5,18,0.00,0,,250
2011-3-23,77,71,64,63,61,59,87,72,56,30.08,30.03,29.97,10,9,7,16,8,20,0.00,3,,225
2011-3-24,81,75,68,68,65,61,90,71,51,30.00,29.96,29.93,10,9,6,20,12,26,0.00,3,,252
2011-3-25,81,73,65,65,58,46,87,60,32,30.01,29.97,29.93,10,10,7,14,6,32,0.00,1,,275
2011-3-26,82,74,66,68,63,58,81,63,45,30.00,29.96,29.91,10,8,2,14,7,17,0.00,3,,180
2011-3-27,84,78,72,68,65,62,84,66,48,29.96,29.92,29.88,10,10,10,20,10,26,0.00,3,,192
2011-3-28,75,70,65,71,65,63,93,86,79,30.02,29.96,29.90,10,6,0,23,7,30,3.61,8,Fog-Rain-Thunderstorm,103
2011-3-29,82,73,64,65,63,62,93,72,51,30.10,30.04,29.99,10,9,0,7,3,,0.00,6,,64
2011-3-30,81,73,65,72,67,61,93,79,64,30.02,29.91,29.83,10,8,4,29,12,37,0.59,7,Rain-Thunderstorm,172
2011-3-31,76,71,65,72,67,63,100,87,73,29.85,29.76,29.67,10,6,0,36,16,44,3.99,7,Fog-Rain-Thunderstorm,233
