HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-9-1,89,83,76,67,65,63,69,56,43,29.99,29.96,29.91,10,10,10,24,12,30,T,2,,51
2009-9-2,90,84,78,68,65,63,71,57,43,30.04,29.98,29.94,10,10,10,29,15,35,T,3,Rain,65
2009-9-3,89,84,78,67,65,61,67,53,38,30.04,30.01,29.98,10,10,10,24,14,32,T,3,Rain,56
2009-9-4,89,84,78,66,64,62,67,54,41,30.04,30.00,29.97,10,10,10,25,15,31,T,3,,60
2009-9-5,89,83,76,67,64,63,67,55,43,30.04,30.00,29.96,10,10,10,23,13,30,T,2,,54
2009-9-6,86,82,77,74,70,68,88,74,59,30.07,30.02,29.99,10,10,7,14,9,25,0.00,4,Rain,61
2009-9-7,91,84,77,72,68,63,82,62,41,30.09,30.06,30.04,10,10,10,18,14,31,0.00,3,,58
2009-9-8,90,83,75,72,67,61,87,64,40,30.06,30.00,29.93,10,10,10,21,12,30,0.00,3,Rain,64
2009-9-9,90,82,73,67,64,61,74,56,38,30.01,29.96,29.91,10,10,10,21,9,28,0.00,2,,62
2009-9-10,92,84,75,69,67,63,74,58,41,30.06,29.99,29.94,10,10,10,23,10,28,0.00,3,,50
2009-9-11,90,83,75,67,65,62,69,55,41,30.09,30.04,30.01,10,10,9,23,11,31,T,2,,59
2009-9-12,89,83,76,69,67,65,79,63,46,30.09,30.05,30.01,10,10,7,22,11,32,T,2,Rain,48
2009-9-13,89,82,75,68,66,63,79,61,43,30.04,30.00,29.95,10,10,10,18,8,23,0.00,3,,49
2009-9-14,89,81,73,67,65,62,73,57,41,30.02,29.98,29.93,10,10,10,17,7,21,0.00,2,,13
2009-9-15,89,80,71,66,63,57,79,58,36,30.08,30.02,29.97,10,10,10,16,8,22,0.00,1,,29
2009-9-16,89,82,74,66,64,62,74,58,41,30.07,30.04,29.99,10,10,10,21,12,29,0.00,1,,51
2009-9-17,90,83,75,72,66,62,87,65,43,30.06,30.02,29.96,10,10,10,21,11,28,0.02,3,,61
2009-9-18,90,84,77,72,69,66,79,66,52,30.02,29.99,29.95,10,10,6,23,12,29,T,4,Rain,65
2009-9-19,89,84,78,67,65,63,67,56,44,30.03,29.98,29.93,10,10,10,23,13,31,0.00,2,,54
2009-9-20,89,83,76,68,66,65,69,58,46,29.98,29.95,29.90,10,10,8,17,9,23,0.01,2,,35
2009-9-21,89,82,74,72,67,62,93,68,43,29.97,29.92,29.86,10,10,5,18,6,22,0.02,4,Rain,30
2009-9-22,90,81,72,67,65,63,79,61,43,29.97,29.93,29.89,10,10,10,17,7,22,0.00,2,,358
2009-9-23,88,81,73,71,68,65,87,67,46,29.98,29.94,29.90,10,10,10,20,6,24,0.06,3,,43
2009-9-24,88,82,76,68,65,63,82,64,46,29.96,29.93,29.88,10,10,9,21,12,26,T,4,Rain,58
2009-9-25,90,84,77,71,68,66,76,62,47,29.94,29.91,29.86,10,10,10,22,11,29,T,4,,57
2009-9-26,90,84,78,70,68,66,69,58,47,29.94,29.90,29.86,10,10,10,24,15,31,0.00,2,,60
2009-9-27,89,83,77,68,65,62,71,57,43,29.98,29.92,29.88,10,10,10,23,13,31,T,2,,60
2009-9-28,89,83,77,68,66,63,71,59,46,30.01,29.96,29.92,10,10,10,25,14,32,T,3,,58
2009-9-29,90,84,78,67,65,63,67,54,41,30.04,29.99,29.96,10,10,10,25,14,33,0.00,2,,57
2009-9-30,88,83,78,66,64,62,67,55,43,30.06,30.01,29.98,10,10,10,24,15,29,0.00,2,,56
