AST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-1-1,81,75,69,68,64,60,84,71,58,30.05,30.01,29.97,10,9,2,28,13,37,0.22,5,Rain,54
2011-1-2,79,75,71,70,66,60,90,75,60,30.07,30.01,29.95,10,8,1,21,14,30,0.38,5,Rain,67
2011-1-3,80,75,70,69,63,59,90,73,56,30.04,29.99,29.95,10,10,6,20,10,24,0.18,4,Rain,64
2011-1-4,79,75,70,68,65,61,74,66,58,30.04,30.00,29.97,10,10,5,18,11,24,0.08,6,Rain,55
2011-1-5,80,76,71,72,70,67,100,85,69,30.04,29.99,29.95,10,8,2,17,10,21,0.86,6,Rain,76
2011-1-6,82,77,71,70,69,68,90,80,69,29.99,29.93,29.88,10,10,10,15,5,18,0.00,4,,104
2011-1-7,86,78,70,71,70,69,93,77,61,29.92,29.89,29.86,10,10,10,14,5,18,0.00,3,,154
2011-1-8,89,81,73,72,70,67,93,73,53,29.98,29.92,29.86,10,10,10,12,3,16,0.00,3,,140
2011-1-9,84,78,72,73,71,69,94,80,65,30.05,29.98,29.94,10,10,10,16,6,18,0.01,3,,92
2011-1-10,82,77,71,74,72,69,93,84,74,30.08,30.03,29.98,10,10,10,24,9,28,0.00,3,,80
2011-1-11,81,77,72,72,70,67,93,84,74,30.12,30.07,30.02,10,10,10,22,9,26,0.04,3,,83
2011-1-12,82,78,73,73,70,68,88,79,69,30.09,30.03,29.97,10,10,10,22,10,29,0.01,4,Rain,85
2011-1-13,81,77,73,75,72,70,94,84,74,30.07,30.01,29.97,10,8,2,21,6,24,0.44,5,Rain,96
2011-1-14,84,78,72,73,70,67,93,78,63,30.04,29.99,29.95,10,10,10,21,7,25,T,3,Rain,88
2011-1-15,85,78,71,70,68,65,90,71,51,30.03,29.97,29.91,10,10,10,18,5,23,T,3,,86
2011-1-16,86,79,72,72,70,68,90,78,65,30.03,29.97,29.92,10,10,10,20,6,25,0.00,2,,88
2011-1-17,83,79,74,73,71,68,88,77,65,30.06,30.01,29.97,10,10,5,18,8,23,0.15,3,Rain,92
2011-1-18,86,79,72,72,69,65,93,74,55,30.08,30.02,29.97,10,10,10,21,8,25,0.00,2,,93
2011-1-19,83,78,72,72,70,69,87,76,65,30.07,30.01,29.97,10,10,10,20,8,24,0.00,2,,86
2011-1-20,83,78,73,71,69,66,87,76,65,30.04,29.98,29.94,10,10,10,21,8,25,T,3,,83
2011-1-21,85,78,71,72,68,66,84,71,58,29.96,29.92,29.88,10,10,6,18,6,25,0.10,3,Rain,98
2011-1-22,86,78,69,72,69,67,90,74,58,29.97,29.92,29.87,10,10,10,16,4,22,T,2,Rain,124
2011-1-23,81,77,72,72,70,66,93,78,62,30.03,29.98,29.93,10,10,10,16,3,24,0.00,3,,126
2011-1-24,83,77,70,71,69,67,97,81,65,30.09,30.03,29.99,10,10,10,18,7,23,T,2,Rain,75
2011-1-25,82,78,73,70,67,65,87,75,62,30.08,30.03,29.99,10,10,10,22,10,26,0.10,3,,75
2011-1-26,82,77,71,69,67,64,87,77,67,30.05,30.00,29.96,10,10,10,20,7,24,T,2,Rain,84
2011-1-27,84,78,72,72,69,67,93,78,63,30.06,30.01,29.96,10,10,6,18,6,23,0.07,3,Rain,97
2011-1-28,85,78,70,70,67,64,90,71,51,30.07,30.02,29.98,10,10,10,21,6,26,T,2,,103
2011-1-29,85,78,70,70,67,65,90,74,58,30.11,30.06,30.01,10,10,10,17,5,22,0.00,2,,81
2011-1-30,82,76,69,72,69,65,90,78,65,30.14,30.08,30.04,10,10,10,16,4,20,0.07,4,Rain,76
2011-1-31,84,78,71,71,68,65,93,76,58,30.12,30.06,30.01,10,10,10,20,6,23,0.00,2,,92
